category,size_band,baseline_a_full,baseline_b_attributed_1280,baseline_b_canonical_1280
boat,16-32,0.9519246600985636,0.009626284354165,0.0201951867278334
boat,32-64,0.9048934593070014,0.3756169525946463,0.5340171911625863
boat,<16,0.0,0.0,0.0
boat,>64,0.9833681754057794,0.6505259395269677,0.7424007736119127
boat,all,0.9640273243807372,0.551290950859873,0.6450786111660625
buoy,16-32,0.8796151962480203,0.0920240657589707,0.0550781645069026
buoy,32-64,0.992294689131202,0.0216538679667837,0.0460254514001752
buoy,<16,0.9358929308459184,0.0137675625878984,0.0210425505460774
buoy,>64,0.9710117988855604,0.012858313637854,0.3796317035301044
buoy,all,0.9373651622158724,0.0436330089012112,0.1014605884492231
jetski,16-32,0.9504950495049505,0.0117302658315883,0.0
jetski,32-64,0.8838991817392945,0.0666594217894089,0.0108078296169936
jetski,>64,0.8943820476255586,0.0369644609445744,0.0178824015425584
jetski,all,0.8930516036530666,0.034121358316145,0.0141955461232119
life_saving_appliances,16-32,0.585213100829027,0.0001020720628763,0.0
life_saving_appliances,32-64,0.4740780861748675,0.0339201877440851,0.0
life_saving_appliances,<16,0.6039603960396039,0.0083168316831683,0.0
life_saving_appliances,all,0.5569240295632971,0.0036155644773849,0.0
swimmer,16-32,0.8004057137278575,0.2670390966004921,0.0887838182087744
swimmer,32-64,0.8708761981777984,0.4224109660831725,0.1738573689842341
swimmer,<16,0.7749402036456089,0.0107230590133983,0.0
swimmer,>64,0.7903348733536013,0.3643246511338026,0.3538022889827517
swimmer,all,0.8305135400841653,0.3201296291495381,0.1542696218478672
