split,img_w,img_h,n_images
train,3840,2160,5800
train,1920,1080,1576
train,5456,3632,860
train,3632,5456,282
train,1230,933,126
train,1231,933,104
train,1231,934,71
train,1230,934,41
train,1230,932,25
train,1232,934,14
train,1229,934,6
train,1231,932,6
train,1229,932,4
train,1232,933,3
train,1229,933,2
train,1230,935,2
train,1225,926,1
train,1227,931,1
train,1228,933,1
train,1228,934,1
train,1229,935,1
train,1232,935,1
train,1233,933,1
train,1233,935,1
val,3840,2160,1030
val,1920,1080,258
val,5456,3632,149
val,3632,5456,47
val,1231,933,20
val,1231,934,20
val,1230,933,13
val,1230,932,3
val,1232,934,2
val,1229,932,1
val,1229,933,1
val,1229,934,1
val,1230,934,1
val,1231,932,1
