idx,sheet,file,category,size_band_dir,conf,edge_px,image_id
0,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_full\crops\fn\swimmer\16-32\000_size32px_img1944.png,swimmer,16-32,,32,1944
1,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_full\crops\fn\swimmer\16-32\001_size32px_img7782.png,swimmer,16-32,,32,7782
2,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_full\crops\fn\swimmer\16-32\002_size32px_img7787.png,swimmer,16-32,,32,7787
3,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_full\crops\fn\swimmer\16-32\003_size32px_img8639.png,swimmer,16-32,,32,8639
4,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_full\crops\fn\swimmer\16-32\004_size32px_img8646.png,swimmer,16-32,,32,8646
5,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_full\crops\fn\swimmer\16-32\005_size32px_img8653.png,swimmer,16-32,,32,8653
6,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_full\crops\fn\swimmer\16-32\006_size32px_img12009.png,swimmer,16-32,,32,12009
7,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_full\crops\fn\swimmer\16-32\007_size32px_img12011.png,swimmer,16-32,,32,12011
8,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_full\crops\fn\swimmer\16-32\008_size32px_img7798.png,swimmer,16-32,,32,7798
9,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_full\crops\fn\swimmer\16-32\009_size32px_img9240.png,swimmer,16-32,,32,9240
10,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_full\crops\fn\swimmer\16-32\010_size32px_img9246.png,swimmer,16-32,,32,9246
11,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_full\crops\fn\swimmer\16-32\011_size32px_img8677.png,swimmer,16-32,,32,8677
12,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_full\crops\fn\swimmer\16-32\012_size32px_img14033.png,swimmer,16-32,,32,14033
13,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_full\crops\fn\swimmer\16-32\013_size32px_img6072.png,swimmer,16-32,,32,6072
14,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_full\crops\fn\swimmer\16-32\014_size32px_img8675.png,swimmer,16-32,,32,8675
15,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_full\crops\fn\swimmer\16-32\015_size31px_img10766.png,swimmer,16-32,,31,10766
16,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_full\crops\fn\swimmer\16-32\016_size31px_img4897.png,swimmer,16-32,,31,4897
17,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_full\crops\fn\swimmer\16-32\017_size31px_img13914.png,swimmer,16-32,,31,13914
