fp_type,size_band,category,count
background,16-32,boat,5
background,16-32,buoy,9
background,16-32,jetski,2
background,16-32,life_saving_appliances,8
background,16-32,swimmer,79
background,32-64,boat,12
background,32-64,buoy,3
background,32-64,jetski,12
background,32-64,life_saving_appliances,3
background,32-64,swimmer,47
background,<16,buoy,5
background,<16,jetski,2
background,<16,swimmer,16
background,>64,boat,17
background,>64,buoy,1
background,>64,jetski,37
background,>64,swimmer,9
class_confusion,16-32,boat,1
class_confusion,16-32,life_saving_appliances,4
class_confusion,16-32,swimmer,4
class_confusion,32-64,buoy,2
class_confusion,32-64,jetski,1
class_confusion,32-64,life_saving_appliances,13
class_confusion,32-64,swimmer,14
class_confusion,<16,life_saving_appliances,1
class_confusion,>64,boat,26
class_confusion,>64,buoy,2
class_confusion,>64,jetski,12
class_confusion,>64,life_saving_appliances,2
class_confusion,>64,swimmer,3
duplicate,16-32,boat,1
duplicate,16-32,buoy,11
duplicate,16-32,life_saving_appliances,4
duplicate,16-32,swimmer,21
duplicate,32-64,swimmer,37
duplicate,<16,buoy,10
duplicate,<16,swimmer,5
duplicate,>64,boat,3
duplicate,>64,swimmer,9
localization,16-32,boat,15
localization,16-32,buoy,16
localization,16-32,life_saving_appliances,5
localization,16-32,swimmer,219
localization,32-64,boat,9
localization,32-64,jetski,5
localization,32-64,life_saving_appliances,8
localization,32-64,swimmer,399
localization,<16,swimmer,10
localization,>64,boat,12
localization,>64,buoy,3
localization,>64,jetski,3
localization,>64,swimmer,129
