fp_type,size_band,category,count
background,16-32,boat,14
background,16-32,buoy,15
background,16-32,jetski,10
background,16-32,life_saving_appliances,12
background,16-32,swimmer,142
background,32-64,boat,21
background,32-64,buoy,4
background,32-64,jetski,22
background,32-64,life_saving_appliances,9
background,32-64,swimmer,77
background,<16,buoy,11
background,<16,jetski,2
background,<16,swimmer,21
background,>64,boat,27
background,>64,buoy,2
background,>64,jetski,65
background,>64,swimmer,20
class_confusion,16-32,boat,2
class_confusion,16-32,life_saving_appliances,8
class_confusion,16-32,swimmer,9
class_confusion,32-64,buoy,2
class_confusion,32-64,jetski,2
class_confusion,32-64,life_saving_appliances,20
class_confusion,32-64,swimmer,27
class_confusion,<16,life_saving_appliances,1
class_confusion,>64,boat,31
class_confusion,>64,buoy,2
class_confusion,>64,jetski,23
class_confusion,>64,life_saving_appliances,7
class_confusion,>64,swimmer,5
duplicate,16-32,boat,7
duplicate,16-32,buoy,33
duplicate,16-32,life_saving_appliances,14
duplicate,16-32,swimmer,97
duplicate,32-64,boat,3
duplicate,32-64,swimmer,209
duplicate,<16,buoy,15
duplicate,<16,swimmer,7
duplicate,>64,boat,12
duplicate,>64,swimmer,31
localization,16-32,boat,25
localization,16-32,buoy,21
localization,16-32,life_saving_appliances,6
localization,16-32,swimmer,302
localization,32-64,boat,14
localization,32-64,buoy,1
localization,32-64,jetski,6
localization,32-64,life_saving_appliances,18
localization,32-64,swimmer,611
localization,<16,buoy,1
localization,<16,swimmer,14
localization,>64,boat,17
localization,>64,buoy,3
localization,>64,jetski,4
localization,>64,life_saving_appliances,2
localization,>64,swimmer,183
