idx,sheet,file,category,size_band_dir,conf,edge_px,image_id
0,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\000_size32px_img3505.png,boat,16-32,,32,3505
1,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\001_size32px_img3523.png,boat,16-32,,32,3523
2,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\002_size32px_img7176.png,boat,16-32,,32,7176
3,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\003_size32px_img7177.png,boat,16-32,,32,7177
4,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\004_size31px_img3510.png,boat,16-32,,31,3510
5,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\005_size31px_img7179.png,boat,16-32,,31,7179
6,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\006_size31px_img7178.png,boat,16-32,,31,7178
7,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\007_size31px_img7211.png,boat,16-32,,31,7211
8,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\008_size31px_img7175.png,boat,16-32,,31,7175
9,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\009_size31px_img7180.png,boat,16-32,,31,7180
10,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\010_size31px_img7181.png,boat,16-32,,31,7181
11,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\011_size31px_img7197.png,boat,16-32,,31,7197
12,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\012_size31px_img7185.png,boat,16-32,,31,7185
13,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\013_size31px_img7186.png,boat,16-32,,31,7186
14,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\014_size30px_img7183.png,boat,16-32,,30,7183
15,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\015_size30px_img7184.png,boat,16-32,,30,7184
16,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\016_size30px_img7198.png,boat,16-32,,30,7198
17,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\017_size30px_img7199.png,boat,16-32,,30,7199
18,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\018_size30px_img7187.png,boat,16-32,,30,7187
19,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\019_size30px_img7182.png,boat,16-32,,30,7182
20,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\020_size30px_img7193.png,boat,16-32,,30,7193
21,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\021_size29px_img7188.png,boat,16-32,,29,7188
22,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\022_size29px_img7203.png,boat,16-32,,29,7203
23,fn_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\023_size29px_img7190.png,boat,16-32,,29,7190
24,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\024_size29px_img7191.png,boat,16-32,,29,7191
25,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\025_size29px_img7189.png,boat,16-32,,29,7189
26,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\026_size29px_img7192.png,boat,16-32,,29,7192
27,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\027_size28px_img7200.png,boat,16-32,,28,7200
28,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\028_size28px_img7184.png,boat,16-32,,28,7184
29,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\029_size27px_img7202.png,boat,16-32,,27,7202
30,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\030_size27px_img7183.png,boat,16-32,,27,7183
31,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\031_size27px_img7201.png,boat,16-32,,27,7201
32,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\032_size27px_img7182.png,boat,16-32,,27,7182
33,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\033_size27px_img7185.png,boat,16-32,,27,7185
34,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\034_size25px_img2378.png,boat,16-32,,25,2378
