idx,sheet,file,category,size_band_dir,conf,edge_px,image_id
0,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\swimmer\16-32\000_size32px_img6056.png,swimmer,16-32,,32,6056
1,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\swimmer\16-32\001_size32px_img7770.png,swimmer,16-32,,32,7770
2,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\swimmer\16-32\002_size32px_img7782.png,swimmer,16-32,,32,7782
3,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\swimmer\16-32\003_size32px_img8653.png,swimmer,16-32,,32,8653
4,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\swimmer\16-32\004_size32px_img9227.png,swimmer,16-32,,32,9227
5,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\swimmer\16-32\005_size32px_img12009.png,swimmer,16-32,,32,12009
6,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\swimmer\16-32\006_size32px_img12011.png,swimmer,16-32,,32,12011
7,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\swimmer\16-32\007_size32px_img3071.png,swimmer,16-32,,32,3071
8,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\swimmer\16-32\008_size32px_img8618.png,swimmer,16-32,,32,8618
9,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\swimmer\16-32\009_size32px_img6055.png,swimmer,16-32,,32,6055
10,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\swimmer\16-32\010_size32px_img7764.png,swimmer,16-32,,32,7764
11,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\swimmer\16-32\011_size32px_img7798.png,swimmer,16-32,,32,7798
12,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\swimmer\16-32\012_size32px_img9240.png,swimmer,16-32,,32,9240
13,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\swimmer\16-32\013_size32px_img9246.png,swimmer,16-32,,32,9246
14,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\swimmer\16-32\014_size32px_img8677.png,swimmer,16-32,,32,8677
15,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\swimmer\16-32\015_size32px_img14033.png,swimmer,16-32,,32,14033
16,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\swimmer\16-32\016_size32px_img1821.png,swimmer,16-32,,32,1821
17,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\swimmer\16-32\017_size32px_img1908.png,swimmer,16-32,,32,1908
18,fn_swimmer_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fn\swimmer\16-32\018_size32px_img7790.png,swimmer,16-32,,32,7790
