idx,sheet,file,category,size_band_dir,conf,edge_px,image_id
0,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\16-32\000_conf0.47_size30px_img3518.png,boat,16-32,0.47,30,3518
1,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\16-32\001_conf0.33_size18px_img267.png,boat,16-32,0.33,18,267
2,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\16-32\002_conf0.31_size32px_img3520.png,boat,16-32,0.31,32,3520
3,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\16-32\003_conf0.26_size29px_img3517.png,boat,16-32,0.26,29,3517
4,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\16-32\004_conf0.25_size21px_img7203.png,boat,16-32,0.25,21,7203
5,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\32-64\000_conf0.81_size59px_img7205.png,boat,32-64,0.81,59,7205
6,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\32-64\001_conf0.75_size43px_img7205.png,boat,32-64,0.75,43,7205
7,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\32-64\002_conf0.75_size44px_img7204.png,boat,32-64,0.75,44,7204
8,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\32-64\003_conf0.74_size57px_img7204.png,boat,32-64,0.74,57,7204
9,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\32-64\004_conf0.71_size59px_img3509.png,boat,32-64,0.71,59,3509
10,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\32-64\005_conf0.59_size49px_img7205.png,boat,32-64,0.59,49,7205
11,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\32-64\006_conf0.57_size56px_img15977.png,boat,32-64,0.57,56,15977
12,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\32-64\007_conf0.56_size46px_img7204.png,boat,32-64,0.56,46,7204
13,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\32-64\008_conf0.56_size52px_img4442.png,boat,32-64,0.56,52,4442
14,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\32-64\009_conf0.52_size41px_img3512.png,boat,32-64,0.52,41,3512
15,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\32-64\010_conf0.48_size39px_img3513.png,boat,32-64,0.48,39,3513
16,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\32-64\011_conf0.46_size49px_img3510.png,boat,32-64,0.46,49,3510
17,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\32-64\012_conf0.42_size56px_img3523.png,boat,32-64,0.42,56,3523
18,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\32-64\013_conf0.39_size41px_img7201.png,boat,32-64,0.39,41,7201
19,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\32-64\014_conf0.37_size34px_img3521.png,boat,32-64,0.37,34,3521
20,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\32-64\015_conf0.28_size39px_img7189.png,boat,32-64,0.28,39,7189
21,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\32-64\016_conf0.27_size61px_img887.png,boat,32-64,0.27,61,887
22,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\32-64\017_conf0.25_size39px_img7198.png,boat,32-64,0.25,39,7198
23,fp_background_sheet00.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\gt64\000_conf0.86_size122px_img8116.png,boat,gt64,0.86,122,8116
