image_id,file_name,category_id,category,score,bbox,edge_len,size_band,fp_type,best_iou,confused_with,error_kind
48,48.jpg,1,swimmer,0.16911,"[647.69, 28.7, 9.84, 10.18]",10.008556339452758,<16,background,0.0,,FP
48,48.jpg,1,swimmer,0.15582,"[812.27, 655.64, 13.91, 23.65]",18.13757150227119,16-32,background,0.0,,FP
71,71.jpg,1,swimmer,0.49363,"[805.63, 468.95, 13.17, 11.35]",12.22618092455694,<16,background,0.0,,FP
71,71.jpg,1,swimmer,0.43612,"[330.4, 182.55, 11.06, 10.65]",10.853064083474308,<16,background,0.0,,FP
71,71.jpg,1,swimmer,0.43211,"[352.46, 197.91, 11.07, 11.9]",11.47749972772816,<16,duplicate,0.7000089287757874,swimmer,FP
71,71.jpg,1,swimmer,0.27754,"[352.25, 199.58, 11.51, 13.75]",12.580242445994433,<16,duplicate,0.7736526131629944,swimmer,FP
71,71.jpg,1,swimmer,0.27041,"[779.01, 458.17, 13.09, 9.98]",11.42970690787826,<16,background,0.0,,FP
71,71.jpg,1,swimmer,0.22797,"[476.62, 273.53, 8.25, 7.87]",8.057760234705423,<16,background,0.0,,FP
71,71.jpg,1,swimmer,0.21098,"[848.46, 493.32, 8.91, 12.17]",10.413198355932725,<16,background,0.0,,FP
71,71.jpg,1,swimmer,0.20923,"[802.97, 468.66, 14.31, 13.91]",14.108582494354279,<16,background,0.0,,FP
71,71.jpg,1,swimmer,0.16586,"[847.1, 490.06, 9.81, 12.26]",10.966795338657507,<16,background,0.0,,FP
71,71.jpg,1,swimmer,0.12378,"[374.07, 104.72, 11.45, 9.81]",10.59832533941094,<16,background,0.0,,FP
71,71.jpg,1,swimmer,0.11953,"[644.6, 381.73, 8.94, 8.2]",8.562009110016175,<16,background,0.0,,FP
85,85.jpg,1,swimmer,0.46511,"[834.12, 309.46, 12.37, 11.62]",11.989136749574591,<16,background,0.0,,FP
85,85.jpg,1,swimmer,0.19692,"[753.11, 325.89, 20.37, 27.28]",23.57315422254731,16-32,background,0.05604292079806328,,FP
85,85.jpg,1,swimmer,0.16992,"[495.97, 71.0, 10.07, 9.63]",9.847542840729357,<16,background,0.0,,FP
85,85.jpg,1,swimmer,0.14395,"[569.61, 5.08, 7.48, 8.62]",8.029794517918873,<16,background,0.0,,FP
85,85.jpg,1,swimmer,0.10754,"[834.42, 305.54, 11.33, 13.86]",12.531312780391366,<16,background,0.0,,FP
113,113.jpg,1,swimmer,0.33202,"[142.03, 209.84, 14.91, 11.85]",13.292234575119414,<16,background,0.0,,FP
119,119.jpg,1,swimmer,0.32703,"[358.96, 530.63, 10.34, 11.13]",10.727730421668882,<16,background,0.0,,FP
124,124.jpg,1,swimmer,0.38391,"[590.36, 96.87, 20.48, 10.41]",14.601260219583788,<16,localization,0.4026833474636078,swimmer,FP
124,124.jpg,1,swimmer,0.20575,"[796.77, 563.86, 12.82, 11.83]",12.315055826101643,<16,background,0.0,,FP
124,124.jpg,1,swimmer,0.15795,"[691.19, 808.63, 19.18, 25.24]",22.002345329532485,16-32,background,0.0,,FP
124,124.jpg,1,swimmer,0.14759,"[736.27, 248.83, 14.16, 12.76]",13.441785595671432,<16,background,0.0,,FP
162,162.jpg,1,swimmer,0.16085,"[469.05, 109.77, 12.84, 8.54]",10.471561488144927,<16,background,0.0,,FP
187,187.jpg,1,swimmer,0.28384,"[336.05, 495.98, 11.95, 11.12]",11.52753225976835,<16,background,0.0,,FP
187,187.jpg,1,swimmer,0.28267,"[253.73, 616.62, 10.84, 12.36]",11.575076673612145,<16,background,0.0,,FP
187,187.jpg,1,swimmer,0.2772,"[284.65, 681.29, 12.59, 12.0]",12.29146045024756,<16,duplicate,0.7449713349342346,swimmer,FP
187,187.jpg,1,swimmer,0.18596,"[213.33, 828.19, 9.86, 7.99]",8.875888687900495,<16,background,0.0,,FP
187,187.jpg,1,swimmer,0.11113,"[253.71, 613.55, 10.88, 12.55]",11.685204319993725,<16,background,0.0,,FP
189,189.jpg,1,swimmer,0.30579,"[272.59, 224.75, 12.12, 11.58]",11.84692365131134,<16,duplicate,0.5411009788513184,swimmer,FP
