fp_type,size_band,category,count
background,16-32,boat,1
background,16-32,buoy,6
background,16-32,life_saving_appliances,1
background,16-32,swimmer,29
background,32-64,boat,13
background,32-64,buoy,2
background,32-64,jetski,3
background,32-64,life_saving_appliances,1
background,32-64,swimmer,55
background,<16,swimmer,4
background,>64,boat,9
background,>64,jetski,6
background,>64,swimmer,7
class_confusion,16-32,boat,1
class_confusion,16-32,jetski,1
class_confusion,16-32,life_saving_appliances,1
class_confusion,16-32,swimmer,2
class_confusion,32-64,boat,1
class_confusion,32-64,jetski,2
class_confusion,32-64,swimmer,39
class_confusion,>64,boat,23
class_confusion,>64,buoy,4
class_confusion,>64,jetski,21
duplicate,16-32,boat,1
duplicate,16-32,swimmer,2
duplicate,32-64,boat,17
duplicate,32-64,buoy,1
duplicate,32-64,life_saving_appliances,1
duplicate,32-64,swimmer,18
duplicate,<16,swimmer,1
duplicate,>64,boat,5
duplicate,>64,jetski,3
duplicate,>64,swimmer,16
localization,16-32,boat,3
localization,16-32,buoy,39
localization,16-32,life_saving_appliances,4
localization,16-32,swimmer,155
localization,32-64,boat,8
localization,32-64,jetski,4
localization,32-64,life_saving_appliances,5
localization,32-64,swimmer,629
localization,>64,boat,22
localization,>64,buoy,3
localization,>64,jetski,8
localization,>64,swimmer,132
