fp_type,size_band,category,count
background,16-32,boat,29
background,16-32,buoy,17
background,16-32,jetski,10
background,16-32,swimmer,9
background,32-64,boat,98
background,32-64,buoy,156
background,32-64,jetski,54
background,32-64,life_saving_appliances,1
background,32-64,swimmer,20
background,>64,boat,409
background,>64,buoy,5
background,>64,jetski,107
background,>64,life_saving_appliances,1
background,>64,swimmer,207
class_confusion,16-32,boat,30
class_confusion,16-32,buoy,78
class_confusion,16-32,jetski,40
class_confusion,16-32,life_saving_appliances,3
class_confusion,16-32,swimmer,3
class_confusion,32-64,boat,132
class_confusion,32-64,buoy,337
class_confusion,32-64,jetski,335
class_confusion,32-64,life_saving_appliances,3
class_confusion,32-64,swimmer,37
class_confusion,>64,boat,368
class_confusion,>64,buoy,97
class_confusion,>64,jetski,365
class_confusion,>64,life_saving_appliances,1
class_confusion,>64,swimmer,312
duplicate,16-32,swimmer,19
duplicate,32-64,swimmer,101
duplicate,>64,boat,214
duplicate,>64,jetski,3
duplicate,>64,swimmer,66
localization,16-32,buoy,1
localization,16-32,swimmer,59
localization,32-64,boat,9
localization,32-64,buoy,4
localization,32-64,jetski,3
localization,32-64,swimmer,181
localization,>64,boat,286
localization,>64,jetski,2
localization,>64,swimmer,334
