fp_type,size_band,category,count
background,16-32,boat,128
background,16-32,buoy,102
background,16-32,jetski,31
background,16-32,swimmer,68
background,32-64,boat,521
background,32-64,buoy,38
background,32-64,jetski,173
background,32-64,life_saving_appliances,1
background,32-64,swimmer,278
background,<16,boat,1
background,<16,buoy,2
background,<16,jetski,2
background,<16,swimmer,7
background,>64,boat,457
background,>64,buoy,1
background,>64,jetski,101
background,>64,life_saving_appliances,2
background,>64,swimmer,290
class_confusion,16-32,boat,188
class_confusion,16-32,buoy,193
class_confusion,16-32,jetski,177
class_confusion,16-32,life_saving_appliances,8
class_confusion,16-32,swimmer,76
class_confusion,32-64,boat,565
class_confusion,32-64,buoy,88
class_confusion,32-64,jetski,459
class_confusion,32-64,life_saving_appliances,2
class_confusion,32-64,swimmer,97
class_confusion,<16,buoy,1
class_confusion,<16,jetski,1
class_confusion,>64,boat,546
class_confusion,>64,buoy,16
class_confusion,>64,jetski,375
class_confusion,>64,life_saving_appliances,1
class_confusion,>64,swimmer,211
duplicate,16-32,boat,1
duplicate,16-32,buoy,1
duplicate,16-32,swimmer,101
duplicate,32-64,boat,29
duplicate,32-64,jetski,3
duplicate,32-64,swimmer,227
duplicate,>64,boat,421
duplicate,>64,jetski,1
duplicate,>64,swimmer,85
localization,16-32,boat,26
localization,16-32,buoy,15
localization,16-32,swimmer,364
localization,32-64,boat,247
localization,32-64,jetski,11
localization,32-64,swimmer,387
localization,<16,swimmer,5
localization,>64,boat,750
localization,>64,jetski,5
localization,>64,swimmer,361
