image_id,file_name,category_id,category,score,bbox,edge_len,size_band,fp_type,best_iou,confused_with,error_kind
85,85.jpg,1,swimmer,0.53785,"[763.34, 322.76, 28.67, 39.66]",33.72020462571364,32-64,class_confusion,0.6279394626617432,boat,FP
85,85.jpg,1,swimmer,0.43323,"[723.28, 486.28, 20.38, 38.1]",27.86535483355631,16-32,class_confusion,0.7186294794082642,boat,FP
242,242.jpg,1,swimmer,0.25842,"[1091.82, 168.06, 20.63, 39.57]",28.571473535678905,16-32,class_confusion,0.6915331482887268,boat,FP
267,267.jpg,1,swimmer,0.59246,"[954.84, 571.53, 132.28, 139.73]",135.95397897818216,>64,background,0.04528367146849632,,FP
267,267.jpg,1,swimmer,0.45147,"[955.82, 635.88, 100.09, 74.87]",86.56638088773263,>64,background,0.11169325560331345,,FP
267,267.jpg,1,swimmer,0.29389,"[955.56, 459.41, 169.16, 251.64]",206.31873981778776,>64,background,0.019662924110889435,,FP
352,352.jpg,1,swimmer,0.35922,"[16.92, 33.9, 632.88, 627.33]",630.0988893816589,>64,background,0.013820301741361618,,FP
460,460.jpg,1,swimmer,0.42216,"[304.83, 523.39, 54.02, 44.56]",49.06252337579061,32-64,class_confusion,0.881239652633667,buoy,FP
465,465.jpg,1,swimmer,0.88447,"[1110.91, 53.87, 46.95, 55.17]",50.894316971544086,32-64,class_confusion,0.9249471426010132,buoy,FP
465,465.jpg,1,swimmer,0.2944,"[488.14, 6.74, 740.92, 647.5]",692.6367734967586,>64,background,0.005369511432945728,,FP
479,479.jpg,1,swimmer,0.32055,"[119.47, 270.4, 44.94, 45.13]",45.034899800043966,32-64,class_confusion,0.5532156825065613,buoy,FP
501,501.jpg,1,swimmer,0.56129,"[216.72, 486.44, 196.7, 445.41]",295.99349148249865,>64,background,0.019691649824380875,,FP
510,510.jpg,2,boat,0.93623,"[0.0, 146.31, 117.63, 173.87]",143.01163623985286,>64,localization,0.45566391944885254,boat,FP
510,510.jpg,2,boat,0.72998,"[0.0, 147.66, 117.99, 254.37]",173.2429401158962,>64,localization,0.30536574125289917,boat,FP
510,510.jpg,2,boat,0.58046,"[0.0, 147.47, 117.78, 379.89]",211.52646217435773,>64,localization,0.20562778413295746,boat,FP
518,518.jpg,3,jetski,0.54097,"[198.58, 57.84, 108.86, 184.84]",141.85091610560715,>64,class_confusion,0.9700950980186462,boat,FP
518,518.jpg,2,boat,0.35741,"[155.79, 12.56, 172.2, 227.98]",198.1367103794751,>64,localization,0.4915463626384735,boat,FP
529,529.jpg,1,swimmer,0.70541,"[0.06, 329.01, 176.94, 207.75]",191.72711075901603,>64,background,0.1763657182455063,,FP
529,529.jpg,1,swimmer,0.69602,"[0.01, 330.12, 176.37, 350.89]",248.76991236883933,>64,background,0.10229265689849854,,FP
550,550.jpg,1,swimmer,0.9061,"[438.1, 14.58, 201.88, 628.67]",356.25257837663435,>64,background,0.013111044652760029,,FP
566,566.jpg,1,swimmer,0.80776,"[401.28, 542.2, 204.4, 391.61]",282.9223992546366,>64,background,0.0,,FP
566,566.jpg,3,jetski,0.53601,"[714.75, 613.15, 204.11, 106.41]",147.37484554699287,>64,class_confusion,0.9533437490463257,boat,FP
566,566.jpg,2,boat,0.4408,"[225.15, 371.8, 871.01, 562.2]",699.7726930939789,>64,background,0.04228459671139717,,FP
566,566.jpg,1,swimmer,0.30054,"[229.95, 487.78, 859.15, 443.37]",617.1882496451143,>64,background,0.054357677698135376,,FP
595,595.jpg,2,boat,0.84282,"[331.55, 475.22, 45.64, 17.6]",28.341912426651806,16-32,class_confusion,0.8495879769325256,jetski,FP
604,604.jpg,5,buoy,0.3856,"[466.21, 89.78, 8.84, 10.61]",9.68464764459709,<16,background,0.0,,FP
619,619.jpg,3,jetski,0.83131,"[968.29, 691.73, 19.45, 26.75]",22.809811485411274,16-32,background,0.0,,FP
619,619.jpg,2,boat,0.82692,"[969.14, 700.51, 16.31, 17.5]",16.89452574060604,16-32,background,0.0,,FP
619,619.jpg,3,jetski,0.81825,"[969.25, 700.74, 16.73, 17.32]",17.022444007838594,16-32,background,0.0,,FP
619,619.jpg,1,swimmer,0.68725,"[968.75, 694.84, 16.53, 22.22]",19.164983694227345,16-32,background,0.0,,FP
619,619.jpg,3,jetski,0.62551,"[967.95, 696.58, 27.2, 22.39]",24.678087446153523,16-32,background,0.0,,FP
619,619.jpg,1,swimmer,0.55943,"[968.31, 692.57, 25.06, 25.36]",25.209553744562793,16-32,background,0.0,,FP
622,622.jpg,1,swimmer,0.2768,"[431.4, 717.47, 158.85, 108.46]",131.2587939911075,>64,background,0.08079461753368378,,FP
637,637.jpg,3,jetski,0.86969,"[941.62, 107.06, 96.64, 135.81]",114.56298878782799,>64,class_confusion,0.96759432554245,boat,FP
637,637.jpg,2,boat,0.28062,"[975.98, 164.76, 35.85, 44.13]",39.77512413556996,32-64,localization,0.11905030161142349,boat,FP
646,646.jpg,3,jetski,0.41146,"[851.05, 539.79, 63.29, 129.43]",90.50759470895247,>64,class_confusion,0.9721401333808899,boat,FP
652,652.jpg,3,jetski,0.5364,"[1202.13, 753.25, 13.04, 18.27]",15.435051020323838,<16,class_confusion,0.6093155145645142,swimmer,FP
652,652.jpg,3,jetski,0.26611,"[1158.13, 756.77, 18.77, 27.71]",22.80606717520581,16-32,class_confusion,0.7388045191764832,swimmer,FP
655,655.jpg,3,jetski,0.74019,"[22.95, 127.8, 19.99, 18.5]",19.230574614399853,16-32,class_confusion,0.8157407641410828,swimmer,FP
655,655.jpg,3,jetski,0.52646,"[193.73, 157.86, 19.25, 20.27]",19.75341742585318,16-32,class_confusion,0.7299517393112183,swimmer,FP
655,655.jpg,2,boat,0.27696,"[75.11, 285.91, 16.66, 17.8]",17.22056909628715,16-32,class_confusion,0.519308865070343,life_saving_appliances,FP
693,693.jpg,3,jetski,0.28561,"[280.63, 90.68, 14.24, 14.01]",14.124531850649069,<16,background,0.0,,FP
693,693.jpg,2,boat,0.26344,"[894.63, 258.37, 64.46, 77.29]",70.58408744185903,>64,localization,0.1647089421749115,boat,FP
774,774.jpg,1,swimmer,0.40274,"[277.18, 191.52, 54.64, 48.56]",51.51037177112975,32-64,background,0.4100525677204132,,FP
780,780.jpg,2,boat,0.83303,"[1201.66, 217.12, 28.34, 88.15]",49.98170665353475,32-64,localization,0.4151656925678253,boat,FP
780,780.jpg,2,boat,0.82124,"[1201.01, 129.39, 28.9, 266.78]",87.80627540216018,>64,localization,0.17223002016544342,boat,FP
780,780.jpg,2,boat,0.79275,"[1202.72, 168.65, 27.28, 172.73]",68.64455113117137,>64,localization,0.28310251235961914,boat,FP
780,780.jpg,2,boat,0.74796,"[1201.41, 211.61, 28.59, 141.0]",63.491652994704744,32-64,localization,0.30406007170677185,boat,FP
780,780.jpg,2,boat,0.71783,"[1200.76, 207.07, 29.24, 228.81]",81.79489226106969,>64,localization,0.19939003884792328,boat,FP
780,780.jpg,2,boat,0.66756,"[1203.71, 187.07, 26.29, 85.59]",47.43586301523352,32-64,duplicate,0.5928464531898499,boat,FP
780,780.jpg,2,boat,0.61297,"[1212.14, 210.11, 17.86, 70.82]",35.564662236551605,32-64,duplicate,0.6236180067062378,boat,FP
780,780.jpg,2,boat,0.5086,"[1204.07, 135.5, 25.93, 171.7]",66.72466560425762,>64,localization,0.2996284067630768,boat,FP
780,780.jpg,2,boat,0.42065,"[1182.39, 203.48, 47.55, 179.49]",92.38370797927521,>64,localization,0.15583138167858124,boat,FP
780,780.jpg,2,boat,0.38311,"[1182.84, 130.04, 47.16, 191.14]",94.94294286570224,>64,localization,0.14798934757709503,boat,FP
780,780.jpg,2,boat,0.3817,"[1202.77, 224.97, 26.62, 37.08]",31.417663821487427,16-32,duplicate,0.5568785071372986,boat,FP
780,780.jpg,1,swimmer,0.35781,"[1191.92, 123.45, 38.08, 169.26]",80.28337810530894,>64,background,0.20696863532066345,,FP
780,780.jpg,2,boat,0.34476,"[1201.61, 205.6, 28.39, 59.41]",41.06884342174734,32-64,duplicate,0.7670615911483765,boat,FP
780,780.jpg,2,boat,0.30799,"[1195.74, 204.0, 34.26, 289.91]",99.6610084235555,>64,localization,0.1343090534210205,boat,FP
780,780.jpg,1,swimmer,0.30281,"[1204.06, 126.52, 25.94, 169.3]",66.26946506499053,>64,background,0.303758829832077,,FP
780,780.jpg,2,boat,0.27887,"[1173.89, 117.59, 56.06, 367.79]",143.5907636305344,>64,background,0.06455026566982269,,FP
828,828.jpg,3,jetski,0.59682,"[162.95, 77.78, 19.33, 21.42]",20.3481841941732,16-32,class_confusion,0.6667449474334717,swimmer,FP
828,828.jpg,1,swimmer,0.52643,"[168.11, 241.32, 24.18, 37.22]",29.999659998073312,16-32,background,0.0,,FP
828,828.jpg,1,swimmer,0.4467,"[111.64, 257.02, 17.88, 25.46]",21.335997750281095,16-32,background,0.0,,FP
828,828.jpg,1,swimmer,0.31654,"[168.35, 257.87, 9.96, 19.65]",13.989781985434941,<16,background,0.0,,FP
830,830.jpg,3,jetski,0.40504,"[684.61, 708.43, 10.07, 13.32]",11.581554299833853,<16,background,0.35864341259002686,,FP
863,863.jpg,1,swimmer,0.43771,"[275.87, 1685.07, 256.13, 182.57]",216.2444313733882,>64,background,0.3972485363483429,,FP
868,868.jpg,2,boat,0.39798,"[2922.23, 1591.14, 298.27, 109.34]",180.59025942724597,>64,localization,0.3470986783504486,boat,FP
868,868.jpg,2,boat,0.32395,"[3876.07, 2140.61, 99.75, 89.58]",94.52832908710488,>64,duplicate,0.5035920739173889,boat,FP
884,884.jpg,1,swimmer,0.27319,"[407.79, 935.72, 480.89, 154.52]",272.5933286050853,>64,class_confusion,0.9166738986968994,boat,FP
887,887.jpg,1,swimmer,0.90327,"[4731.99, 3233.03, 116.86, 192.46]",149.96958224920147,>64,class_confusion,0.5687639713287354,boat,FP
984,984.jpg,1,swimmer,0.47226,"[1650.49, 2612.93, 67.55, 157.08]",103.0085142112049,>64,class_confusion,0.8005086183547974,boat,FP
1003,1003.jpg,1,swimmer,0.56826,"[3647.06, 40.03, 76.79, 164.7]",112.46027298561924,>64,class_confusion,0.8006932735443115,boat,FP
1003,1003.jpg,5,buoy,0.41283,"[3551.06, 190.94, 24.98, 52.37]",36.16908348299691,32-64,class_confusion,0.8439059853553772,swimmer,FP
1003,1003.jpg,5,buoy,0.27543,"[3648.07, 40.56, 75.1, 164.1]",111.01310733422427,>64,class_confusion,0.7948648929595947,boat,FP
1018,1018.jpg,2,boat,0.72359,"[0.0, 3182.58, 77.07, 173.42]",115.6091665915813,>64,localization,0.3591386675834656,boat,FP
1018,1018.jpg,2,boat,0.46066,"[0.0, 3181.8, 116.26, 95.29]",105.25405170348552,>64,localization,0.43733689188957214,boat,FP
1018,1018.jpg,2,boat,0.42381,"[0.0, 3181.12, 111.53, 169.7]",137.5741291086373,>64,localization,0.25598838925361633,boat,FP
1032,1032.jpg,1,swimmer,0.70311,"[1142.74, 3127.0, 98.41, 128.97]",112.65850034506938,>64,class_confusion,0.8294242024421692,boat,FP
1036,1036.jpg,1,swimmer,0.83249,"[782.32, 431.21, 113.91, 146.15]",129.02692160940677,>64,class_confusion,0.8087483644485474,boat,FP
1036,1036.jpg,1,swimmer,0.79875,"[600.49, 676.33, 115.23, 124.5]",119.77535222240009,>64,class_confusion,0.8439480066299438,boat,FP
