image_id,file_name,category_id,category,score,bbox,edge_len,size_band,fp_type,best_iou,confused_with,error_kind
510,510.jpg,2,boat,0.31655,"[0.02, 145.14, 105.65, 182.14]",138.71946871293878,>64,localization,0.4862476587295532,boat,FP
646,646.jpg,5,buoy,0.27667,"[851.24, 540.54, 61.39, 128.41]",88.78676646888319,>64,class_confusion,0.9543865919113159,boat,FP
803,803.jpg,2,boat,0.25158,"[353.76, 529.05, 357.39, 402.95]",379.48689107793956,>64,background,0.025498174130916595,,FP
868,868.jpg,5,buoy,0.2654,"[3872.41, 2127.83, 116.42, 169.2]",140.35050409599532,>64,class_confusion,0.8618295192718506,boat,FP
984,984.jpg,5,buoy,0.61094,"[1649.0, 2614.68, 63.93, 151.67]",98.46960495503167,>64,class_confusion,0.8542792201042175,boat,FP
1032,1032.jpg,5,buoy,0.28712,"[1008.32, 3370.49, 95.83, 125.3]",109.578734250766,>64,class_confusion,0.8428065776824951,boat,FP
1032,1032.jpg,5,buoy,0.2663,"[1142.63, 3127.15, 94.24, 126.68]",109.26263405208572,>64,class_confusion,0.881782054901123,boat,FP
1109,1109.jpg,5,buoy,0.25875,"[3617.19, 261.4, 78.4, 136.77]",103.55079912777111,>64,class_confusion,0.8603187799453735,boat,FP
1144,1144.jpg,5,buoy,0.2709,"[2399.24, 796.57, 83.34, 137.78]",107.15682526092307,>64,class_confusion,0.7669004201889038,boat,FP
1765,1765.jpg,5,buoy,0.52413,"[1391.78, 265.0, 57.72, 114.45]",81.27763530024727,>64,class_confusion,0.7493125796318054,boat,FP
1765,1765.jpg,5,buoy,0.50441,"[1326.78, 134.23, 52.93, 112.9]",77.30327936122762,>64,class_confusion,0.9690945148468018,boat,FP
1786,1786.jpg,5,buoy,0.52028,"[1963.91, 3742.97, 45.37, 105.18]",69.0797843077119,>64,class_confusion,0.8638935089111328,boat,FP
1786,1786.jpg,5,buoy,0.45751,"[2085.39, 3869.81, 53.16, 119.01]",79.53974855378914,>64,class_confusion,0.7413038015365601,boat,FP
1821,1821.jpg,5,buoy,0.37571,"[2272.44, 5203.21, 60.01, 126.37]",87.08308503951844,>64,class_confusion,0.8386668562889099,boat,FP
1835,1835.jpg,5,buoy,0.35084,"[3311.33, 478.9, 70.74, 99.49]",83.89232742033087,>64,class_confusion,0.8815101981163025,boat,FP
1871,1871.jpg,5,buoy,0.32955,"[1658.29, 1008.38, 67.04, 83.12]",74.64827392512169,>64,class_confusion,0.9005408883094788,boat,FP
1911,1911.jpg,5,buoy,0.33925,"[1837.5, 1136.46, 70.08, 100.49]",83.91864631892008,>64,class_confusion,0.8728837370872498,boat,FP
1931,1931.jpg,5,buoy,0.40324,"[2651.96, 1151.89, 70.59, 83.96]",76.98529989549952,>64,class_confusion,0.8983269929885864,boat,FP
1944,1944.jpg,5,buoy,0.34523,"[2381.52, 2167.48, 66.79, 85.85]",75.72266173345996,>64,class_confusion,0.843075156211853,boat,FP
1959,1959.jpg,5,buoy,0.25971,"[2985.02, 3222.4, 70.86, 85.27]",77.73179658286563,>64,class_confusion,0.7856390476226807,boat,FP
1990,1990.jpg,5,buoy,0.37228,"[3547.23, 2438.28, 68.06, 89.08]",77.86388636588852,>64,class_confusion,0.9060665965080261,boat,FP
1990,1990.jpg,5,buoy,0.35582,"[4319.54, 2702.91, 66.64, 96.75]",80.29582803608167,>64,class_confusion,0.8598493933677673,boat,FP
2005,2005.jpg,5,buoy,0.37896,"[1880.6, 2051.38, 63.66, 81.42]",71.99442478414561,>64,class_confusion,0.8724036812782288,boat,FP
2049,2049.jpg,5,buoy,0.42608,"[1528.45, 1697.26, 58.75, 85.12]",70.71633474664817,>64,class_confusion,0.8759725689888,boat,FP
2049,2049.jpg,5,buoy,0.28067,"[2259.46, 1955.33, 59.21, 79.31]",68.52696622498328,>64,class_confusion,0.8370646834373474,boat,FP
2058,2058.jpg,5,buoy,0.30371,"[2712.03, 1842.04, 57.92, 87.4]",71.14919535736156,>64,class_confusion,0.9215301871299744,boat,FP
2060,2060.jpg,5,buoy,0.29764,"[2657.77, 1238.62, 55.5, 95.46]",72.78756761975221,>64,class_confusion,0.8421858549118042,boat,FP
2060,2060.jpg,5,buoy,0.27788,"[3397.83, 1390.4, 55.3, 87.94]",69.73580142222501,>64,class_confusion,0.9159279465675354,boat,FP
2070,2070.jpg,5,buoy,0.26326,"[1286.62, 2802.42, 56.42, 89.09]",70.8975161765206,>64,class_confusion,0.7243286371231079,boat,FP
2078,2078.jpg,5,buoy,0.301,"[2036.65, 2653.48, 50.97, 86.07]",66.23434079086165,>64,class_confusion,0.8720703125,boat,FP
2109,2109.jpg,5,buoy,0.3017,"[4722.65, 266.87, 65.55, 102.79]",82.08461792565036,>64,class_confusion,0.6843394041061401,boat,FP
2114,2114.jpg,5,buoy,0.42064,"[1761.36, 3466.69, 49.96, 92.24]",67.88453726733356,>64,class_confusion,0.7362785935401917,boat,FP
2198,2198.jpg,5,buoy,0.33488,"[2935.09, 2825.01, 59.84, 86.16]",71.8039998885856,>64,class_confusion,0.7758231163024902,boat,FP
2198,2198.jpg,5,buoy,0.28007,"[3476.63, 2476.53, 72.72, 74.31]",73.5107012617891,>64,class_confusion,0.8484655022621155,boat,FP
2211,2211.jpg,5,buoy,0.37357,"[2201.05, 2333.87, 52.66, 78.99]",64.49506492748107,>64,class_confusion,0.7656049728393555,boat,FP
