fp_type,size_band,category,count
background,16-32,boat,22
background,16-32,buoy,52
background,32-64,boat,30
background,32-64,buoy,18
background,32-64,jetski,1
background,>64,boat,39
background,>64,buoy,8
background,>64,jetski,2
class_confusion,16-32,boat,60
class_confusion,16-32,buoy,108
class_confusion,32-64,boat,130
class_confusion,32-64,buoy,60
class_confusion,32-64,jetski,1
class_confusion,>64,boat,197
class_confusion,>64,buoy,63
class_confusion,>64,jetski,29
duplicate,32-64,boat,2
duplicate,>64,boat,38
localization,16-32,boat,6
localization,16-32,buoy,12
localization,32-64,boat,7
localization,>64,boat,49
localization,>64,buoy,1
localization,>64,jetski,1
