image_id,file_name,category_id,category,score,bbox,edge_len,size_band,fp_type,best_iou,confused_with,error_kind
510,510.jpg,2,boat,0.26427,"[0.0, 144.63, 117.32, 181.79]",146.03973021065192,>64,localization,0.4388679265975952,boat,FP
595,595.jpg,5,buoy,0.35451,"[624.35, 513.75, 72.85, 55.6]",63.643224305498535,32-64,class_confusion,0.9069534540176392,boat,FP
1003,1003.jpg,5,buoy,0.30504,"[3648.63, 41.14, 73.42, 161.66]",108.94529452895155,>64,class_confusion,0.8061926960945129,boat,FP
1032,1032.jpg,5,buoy,0.26487,"[1143.39, 3129.65, 93.03, 121.55]",106.33812345532527,>64,class_confusion,0.9067463874816895,boat,FP
1032,1032.jpg,5,buoy,0.26028,"[1012.71, 3366.86, 90.72, 121.11]",104.81936462314586,>64,class_confusion,0.8680912256240845,boat,FP
1036,1036.jpg,5,buoy,0.29009,"[786.74, 435.67, 104.16, 135.13]",118.63869857681345,>64,class_confusion,0.9205129146575928,boat,FP
1073,1073.jpg,5,buoy,0.28711,"[3698.32, 544.2, 89.52, 137.23]",110.83695051741545,>64,class_confusion,0.9063724279403687,boat,FP
1073,1073.jpg,5,buoy,0.25464,"[4266.36, 532.7, 24.72, 29.55]",27.027319511930887,16-32,class_confusion,0.5202087759971619,swimmer,FP
1096,1096.jpg,2,boat,0.60135,"[2564.93, 2648.69, 162.19, 120.29]",139.677611305463,>64,localization,0.40085166692733765,boat,FP
1096,1096.jpg,5,buoy,0.33759,"[2949.53, 3336.81, 77.81, 123.47]",98.01632874169486,>64,class_confusion,0.8282330632209778,boat,FP
1096,1096.jpg,5,buoy,0.33513,"[2425.73, 3348.42, 26.19, 32.44]",29.14796047753599,16-32,class_confusion,0.7835147380828857,swimmer,FP
1109,1109.jpg,2,boat,0.3395,"[3759.29, 733.74, 162.51, 136.52]",148.94920342183775,>64,localization,0.40890899300575256,boat,FP
1123,1123.jpg,5,buoy,0.33803,"[3288.18, 1940.13, 194.86, 165.16]",179.39642582838712,>64,background,0.30817437171936035,,FP
1125,1125.jpg,3,jetski,0.29761,"[3069.73, 629.41, 216.68, 148.82]",179.57259701858743,>64,background,0.29201585054397583,,FP
1560,1560.jpg,5,buoy,0.43023,"[4506.05, 1426.65, 149.89, 172.5]",160.79808767519594,>64,class_confusion,0.9070227146148682,boat,FP
1724,1724.jpg,5,buoy,0.2654,"[2474.37, 1299.24, 65.74, 116.56]",87.5365889214333,>64,class_confusion,0.878476619720459,boat,FP
1765,1765.jpg,5,buoy,0.44514,"[1326.96, 134.39, 49.81, 116.19]",76.07512011163702,>64,class_confusion,0.8917678594589233,boat,FP
1765,1765.jpg,5,buoy,0.31298,"[1398.34, 268.35, 43.28, 114.84]",70.50017872317771,>64,class_confusion,0.9171019792556763,boat,FP
1765,1765.jpg,5,buoy,0.2687,"[1585.76, 555.37, 20.72, 26.73]",23.533924449611035,16-32,class_confusion,0.7366674542427063,swimmer,FP
1786,1786.jpg,5,buoy,0.35628,"[946.82, 4158.75, 96.84, 72.52]",83.80236750832282,>64,class_confusion,0.9037162065505981,boat,FP
1786,1786.jpg,5,buoy,0.29261,"[1758.15, 3593.69, 32.42, 40.87]",36.40062362103155,32-64,background,0.2150934934616089,,FP
1786,1786.jpg,5,buoy,0.25701,"[2090.89, 3868.34, 48.43, 125.48]",77.95509220057404,>64,class_confusion,0.7810935974121094,boat,FP
1824,1824.jpg,5,buoy,0.40706,"[4938.61, 522.82, 28.62, 31.69]",30.115906096280753,16-32,class_confusion,0.7144129872322083,swimmer,FP
1824,1824.jpg,5,buoy,0.28216,"[4678.34, 1013.59, 71.99, 106.52]",87.56925716254534,>64,class_confusion,0.8034296631813049,boat,FP
1835,1835.jpg,5,buoy,0.33323,"[3313.65, 477.86, 64.25, 100.18]",80.22820576330996,>64,class_confusion,0.9054288268089294,boat,FP
1871,1871.jpg,5,buoy,0.33655,"[1907.74, 1209.93, 25.03, 33.2]",28.82700123148435,16-32,class_confusion,0.6122242212295532,swimmer,FP
1910,1910.jpg,5,buoy,0.3692,"[1750.28, 1500.22, 65.18, 93.57]",78.0954070352412,>64,class_confusion,0.8842176198959351,boat,FP
1911,1911.jpg,5,buoy,0.3643,"[1843.45, 1137.71, 60.22, 100.52]",77.80304878345063,>64,class_confusion,0.8295561671257019,boat,FP
1915,1915.jpg,5,buoy,0.31664,"[3927.18, 2793.42, 62.98, 92.07]",76.14833287735195,>64,class_confusion,0.9139077663421631,boat,FP
1931,1931.jpg,5,buoy,0.25499,"[2651.03, 1152.84, 70.52, 83.03]",76.51977260813051,>64,class_confusion,0.9068077802658081,boat,FP
1944,1944.jpg,5,buoy,0.4396,"[2381.6, 2169.44, 72.68, 86.03]",79.07376556102537,>64,class_confusion,0.8755761384963989,boat,FP
1975,1975.jpg,5,buoy,0.49241,"[3007.65, 436.4, 45.39, 94.38]",65.45157140970719,>64,class_confusion,0.9050647616386414,boat,FP
1975,1975.jpg,5,buoy,0.29495,"[2198.78, 276.3, 71.77, 90.74]",80.69950309636361,>64,class_confusion,0.8899931907653809,boat,FP
1990,1990.jpg,5,buoy,0.45444,"[3548.03, 2442.42, 68.47, 83.09]",75.42660207115259,>64,class_confusion,0.9425461292266846,boat,FP
2049,2049.jpg,5,buoy,0.41317,"[1532.13, 1697.19, 53.94, 91.13]",70.11099913708262,>64,class_confusion,0.8733906149864197,boat,FP
2058,2058.jpg,5,buoy,0.26976,"[3451.25, 1985.71, 51.16, 94.09]",69.38043239992095,>64,class_confusion,0.918007493019104,boat,FP
2060,2060.jpg,5,buoy,0.25641,"[3399.54, 1387.1, 50.1, 91.9]",67.85418189028589,>64,class_confusion,0.8986359238624573,boat,FP
2070,2070.jpg,5,buoy,0.39954,"[1289.24, 2800.64, 60.72, 90.23]",74.01868412772548,>64,class_confusion,0.8696694374084473,boat,FP
2078,2078.jpg,5,buoy,0.27726,"[2032.77, 2656.85, 54.5, 86.08]",68.49350334155787,>64,class_confusion,0.9077887535095215,boat,FP
2109,2109.jpg,5,buoy,0.28224,"[4723.48, 271.73, 57.42, 90.41]",72.05096945912665,>64,class_confusion,0.8850474953651428,boat,FP
2109,2109.jpg,2,boat,0.25311,"[4510.98, 472.58, 156.09, 117.8]",135.6001548671682,>64,localization,0.2870328724384308,boat,FP
2110,2110.jpg,2,boat,0.25662,"[4451.34, 180.26, 153.6, 119.01]",135.20331356886192,>64,localization,0.28162020444869995,boat,FP
2160,2160.jpg,5,buoy,0.35349,"[2699.51, 2220.2, 41.15, 94.04]",62.20728253187082,32-64,class_confusion,0.8222761750221252,boat,FP
2198,2198.jpg,5,buoy,0.29317,"[3094.58, 2394.33, 39.93, 88.57]",59.46932066200185,32-64,class_confusion,0.8828670978546143,boat,FP
2211,2211.jpg,5,buoy,0.46387,"[2336.61, 1909.78, 43.39, 83.55]",60.20992027897064,32-64,class_confusion,0.8968030214309692,boat,FP
2211,2211.jpg,5,buoy,0.31542,"[2207.25, 2331.85, 43.71, 82.34]",59.99234451161248,32-64,class_confusion,0.8177648186683655,boat,FP
2211,2211.jpg,5,buoy,0.26731,"[2058.33, 2373.73, 29.95, 28.82]",29.379567729971793,16-32,class_confusion,0.705798864364624,swimmer,FP
2228,2228.jpg,5,buoy,0.26671,"[3987.39, 1470.57, 41.29, 89.59]",60.820811405307644,32-64,class_confusion,0.8954043984413147,boat,FP
2228,2228.jpg,5,buoy,0.25782,"[4085.01, 1041.2, 55.25, 83.65]",67.98281032731731,>64,class_confusion,0.9464127421379089,boat,FP
2231,2231.jpg,5,buoy,0.41562,"[3644.88, 711.4, 41.36, 87.11]",60.02390856983574,32-64,class_confusion,0.9337058067321777,boat,FP
2231,2231.jpg,5,buoy,0.29427,"[3744.04, 292.82, 54.86, 86.31]",68.81109358235778,>64,class_confusion,0.8485804200172424,boat,FP
2234,2234.jpg,5,buoy,0.25581,"[1294.44, 2671.87, 55.56, 81.91]",67.46050400048905,>64,class_confusion,0.9595101475715637,boat,FP
2241,2241.jpg,5,buoy,0.30904,"[1203.8, 97.94, 55.29, 90.35]",70.67850804876967,>64,class_confusion,0.7739920616149902,boat,FP
2241,2241.jpg,5,buoy,0.27077,"[1054.86, 520.14, 55.23, 84.17]",68.18144248987403,>64,class_confusion,0.8694576025009155,boat,FP
2276,2276.jpg,5,buoy,0.49778,"[1435.75, 2748.5, 51.25, 81.22]",64.51763324859336,>64,class_confusion,0.8355505466461182,boat,FP
2360,2360.jpg,5,buoy,0.33689,"[2689.85, 355.87, 22.67, 43.22]",31.301715607934337,16-32,background,0.38273221254348755,,FP
2366,2366.jpg,5,buoy,0.50911,"[851.89, 3007.55, 58.26, 77.61]",67.2425356452298,>64,class_confusion,0.8165326118469238,boat,FP
2398,2398.jpg,5,buoy,0.27597,"[2027.82, 1549.65, 62.54, 73.99]",68.02451469874666,>64,class_confusion,0.7686790823936462,boat,FP
2428,2428.jpg,5,buoy,0.54225,"[2755.45, 3314.62, 38.01, 73.51]",52.85938989432247,32-64,class_confusion,0.8867679238319397,boat,FP
2453,2453.jpg,5,buoy,0.43288,"[3273.37, 2730.17, 34.55, 70.98]",49.521298448243456,32-64,class_confusion,0.8076966404914856,boat,FP
2453,2453.jpg,5,buoy,0.39491,"[3547.46, 2268.84, 44.41, 66.87]",54.49492361679205,32-64,class_confusion,0.9098331332206726,boat,FP
2459,2459.jpg,5,buoy,0.51311,"[3567.1, 1575.31, 44.44, 73.11]",57.0000736841629,32-64,class_confusion,0.9551380276679993,boat,FP
2486,2486.jpg,5,buoy,0.4723,"[2392.63, 3163.7, 31.37, 67.37]",45.971696727443074,32-64,class_confusion,0.8676462173461914,boat,FP
2486,2486.jpg,5,buoy,0.29154,"[1969.61, 2625.47, 58.08, 68.32]",62.99226619196995,32-64,class_confusion,0.8937495350837708,boat,FP
2488,2488.jpg,5,buoy,0.38507,"[2930.83, 2667.58, 34.71, 77.02]",51.70458587011407,32-64,class_confusion,0.8341535925865173,boat,FP
2497,2497.jpg,2,boat,0.70162,"[1716.59, 5180.96, 216.75, 156.59]",184.23051457345497,>64,background,0.0,,FP
2684,2684.jpg,2,boat,0.27229,"[1889.56, 4632.32, 496.83, 382.69]",436.04113647682374,>64,localization,0.4958452880382538,boat,FP
3001,3001.jpg,5,buoy,0.37012,"[4811.61, 1954.46, 31.57, 42.56]",36.65541160592799,32-64,class_confusion,0.8931102156639099,life_saving_appliances,FP
