category,size_band,mAP@50-95,mAP@50,AR@50-95
swimmer,all,0.3835926951711076,0.8305135400841653,0.4966161778923623
swimmer,small,0.33959367993149625,0.7992798375904675,0.43676274944567633
swimmer,medium,0.4145083509312018,0.8607462154426468,0.5315587266739847
swimmer,large,0.3918560393394797,0.7603832179533564,0.5227564102564102
boat,all,0.7446949574743219,0.9640273243807372,0.7937217705510389
boat,small,0.6596608043396855,0.9426138221912175,0.6939759036144577
boat,medium,0.7011750951504632,0.9400878668625282,0.7456325301204819
boat,large,0.7787068688015216,0.9760431637641003,0.8287572254335259
jetski,all,0.6082592248867629,0.8930516036530666,0.6912499999999999
jetski,small,0.6336798679867987,0.9250825082508249,0.7
jetski,medium,0.5622422599090633,0.9036241192130284,0.6689265536723162
jetski,large,0.6520700120198462,0.8661301371476554,0.7200000000000001
life_saving_appliances,all,0.31102008405077824,0.5569240295632971,0.356969696969697
life_saving_appliances,small,0.3239174965450616,0.5851109155601617,0.3622881355932204
life_saving_appliances,medium,0.2734608766284998,0.46854409889396526,0.34361702127659577
life_saving_appliances,large,,,
buoy,all,0.5650321225688774,0.9373651622158723,0.6333928571428571
buoy,small,0.4050191934352683,0.8796059175152142,0.5019607843137255
buoy,medium,0.690213604713766,0.9751718177299913,0.7792626728110599
buoy,large,0.8296998964332922,0.9984366857738405,0.8648648648648649
