category,size_band,mAP@50-95,mAP@50,AR@50-95
swimmer,all,0.3835926951711076,0.8305135400841653,0.4966161778923623
swimmer,<16,0.29494098066732033,0.7749402036456089,0.3524193548387097
swimmer,16-32,0.3423296360408385,0.8004057137278575,0.441377694470478
swimmer,32-64,0.41718455003193156,0.8708761981777984,0.5313320825515947
swimmer,>64,0.4013544390523587,0.7903348733536013,0.5291172595520421
boat,all,0.7446949574743219,0.9640273243807372,0.7937217705510389
boat,<16,0.0,0.0,0.0
boat,16-32,0.663673466765414,0.9519246600985636,0.6981818181818181
boat,32-64,0.6232715513428977,0.9048934593070014,0.6708860759493671
boat,>64,0.7839852148849585,0.9833681754057794,0.8330913490623111
jetski,all,0.6082592248867629,0.8930516036530666,0.6912499999999999
jetski,<16,,,
jetski,16-32,0.6517538896746816,0.9504950495049503,0.7
jetski,32-64,0.5993937584157566,0.8838991817392945,0.7071428571428571
jetski,>64,0.6135399146057773,0.8943820476255586,0.6850877192982456
life_saving_appliances,all,0.31102008405077824,0.5569240295632971,0.356969696969697
life_saving_appliances,<16,0.22434936350777931,0.6039603960396039,0.38
life_saving_appliances,16-32,0.32778100989803616,0.585213100829027,0.3619047619047619
life_saving_appliances,32-64,0.2756464630189867,0.4740780861748675,0.34361702127659577
life_saving_appliances,>64,,,
buoy,all,0.5650321225688774,0.9373651622158723,0.6333928571428571
buoy,<16,0.3749733080062992,0.9358929308459185,0.4636363636363637
buoy,16-32,0.41742259821365746,0.8796151962480203,0.5103585657370519
buoy,32-64,0.6717359684208485,0.992294689131202,0.7419753086419754
buoy,>64,0.7343104551698962,0.9710117988855603,0.8150289017341039
