category,size_band,mAP@50-95,mAP@50,AR@50-95
swimmer,all,0.2814435879142222,0.6901639081131397,0.3983242023847889
swimmer,small,0.22535320421205796,0.5791941683666002,0.27250554323725057
swimmer,medium,0.3226977380009605,0.7707437861821496,0.46473655323819985
swimmer,large,0.3490051677833363,0.7305315943669848,0.5355769230769231
boat,all,0.6354043514436697,0.9335592786285775,0.695754290876242
boat,small,0.39145433360560405,0.6267496384160176,0.4162650602409639
boat,medium,0.5566866815265069,0.9133820904424056,0.6260542168674699
boat,large,0.7015717399710836,0.9708930563253279,0.7627167630057804
jetski,all,0.5303941536162375,0.8646072236538532,0.6375
jetski,small,0.4903690369036903,0.9570957095709572,0.5125
jetski,medium,0.4711573467715297,0.8553850033658881,0.5655367231638418
jetski,large,0.6270077649904333,0.9040097238828078,0.7392592592592593
life_saving_appliances,all,0.07820871353626341,0.18884238209454682,0.10696969696969698
life_saving_appliances,small,0.08873585547412202,0.2252335061765153,0.111864406779661
life_saving_appliances,medium,0.06342517724715564,0.12384216443622384,0.09468085106382979
life_saving_appliances,large,,,
buoy,all,0.36183449615019314,0.5807196508090349,0.39874999999999994
buoy,small,0.07990574227836389,0.24951638815733107,0.1045751633986928
buoy,medium,0.6694847766830972,0.936239218390376,0.7391705069124423
buoy,large,0.7754811648419208,0.9992183428869202,0.8351351351351353
