category,size_band,mAP@50-95,mAP@50,AR@50-95
swimmer,all,0.2814435879142222,0.6901639081131397,0.3983242023847889
swimmer,<16,0.08115975930667602,0.23454900372588036,0.1064516129032258
swimmer,16-32,0.23367772957447266,0.5985269084170984,0.2819119025304592
swimmer,32-64,0.32263879601254786,0.774450984549202,0.4583489681050656
swimmer,>64,0.340865978468611,0.7509691549596212,0.5204216073781291
boat,all,0.6354043514436697,0.9335592786285775,0.695754290876242
boat,<16,0.0,0.0,0.0
boat,16-32,0.392549440239409,0.6291098236340392,0.41878787878787876
boat,32-64,0.5003611559252177,0.8673989816254539,0.5632911392405063
boat,>64,0.6926248527710178,0.9712664154469741,0.7554748941318814
jetski,all,0.5303941536162375,0.8646072236538532,0.6375
jetski,<16,,,
jetski,16-32,0.4903690369036903,0.9570957095709572,0.5125
jetski,32-64,0.4861083490637645,0.8505396535299866,0.555952380952381
jetski,>64,0.5605718609409237,0.8830893705274029,0.6719298245614035
life_saving_appliances,all,0.07820871353626341,0.18884238209454682,0.10696969696969698
life_saving_appliances,<16,0.24455445544554455,0.40594059405940597,0.24000000000000005
life_saving_appliances,16-32,0.08640170293258417,0.2242754623989619,0.10909090909090909
life_saving_appliances,32-64,0.06342517724715564,0.12384216443622384,0.09468085106382979
life_saving_appliances,>64,,,
buoy,all,0.36183449615019314,0.5807196508090349,0.39874999999999994
buoy,<16,0.01006212385944477,0.06629780625121336,0.016363636363636365
buoy,16-32,0.09471382466585297,0.29573266669719966,0.12390438247011952
buoy,32-64,0.6155940029670538,0.9076404580835727,0.6814814814814816
buoy,>64,0.7162988328149653,0.9621218446241789,0.7867052023121387
