category,size_band,mAP@50-95,mAP@50,AR@50-95
swimmer,all,0.1339754937131106,0.32012962914953813,0.32310667096358364
swimmer,small,0.09600859906858986,0.2529683612070144,0.21609756097560978
swimmer,medium,0.1611182590671732,0.3861195734266369,0.3704445664105379
swimmer,large,0.22597342205797755,0.49500862580063476,0.5451923076923076
boat,all,0.35561511293948833,0.551290950859873,0.6225383920505871
boat,small,0.002930932224872696,0.009511459361658706,0.11024096385542168
boat,medium,0.08645598914810226,0.21456427597879973,0.42861445783132535
boat,large,0.5509969511295085,0.7863600490580224,0.7770231213872832
jetski,all,0.014484325661882722,0.03412135831614506,0.38312500000000005
jetski,small,0.006271659611436398,0.011586438033359016,0.525
jetski,medium,0.02085854397865923,0.057612475987245435,0.34350282485875705
jetski,large,0.02358290755774204,0.03357225444082605,0.42666666666666664
life_saving_appliances,all,0.0012672890074187251,0.0036155644773849947,0.023030303030303033
life_saving_appliances,small,5.1350757195535224e-05,0.00012775471095496647,0.003389830508474576
life_saving_appliances,medium,0.007126557820866651,0.022031321271164785,0.0723404255319149
life_saving_appliances,large,,,
buoy,all,0.014418196430481733,0.043633008901211225,0.20464285714285718
buoy,small,0.022688254843580412,0.07798258716345796,0.20555555555555557
buoy,medium,0.009340508342300049,0.014041502467143033,0.21428571428571425
buoy,large,0.01336829667129609,0.016282312620402313,0.14054054054054055
