category,size_band,mAP@50-95,mAP@50,AR@50-95
swimmer,all,0.1339754937131106,0.32012962914953813,0.32310667096358364
swimmer,<16,0.0029373844553761256,0.010723059013398362,0.04516129032258065
swimmer,16-32,0.10170351601570647,0.2670390966004921,0.22572633552014998
swimmer,32-64,0.17654542710551618,0.4224109660831725,0.35934959349593504
swimmer,>64,0.16046681589423048,0.3643246511338026,0.4897233201581027
boat,all,0.35561511293948833,0.551290950859873,0.6225383920505871
boat,<16,0.0,0.0,0.0
boat,16-32,0.002958235739595488,0.009626284354165088,0.11090909090909092
boat,32-64,0.1435734912502292,0.37561695259464634,0.39367088607594936
boat,>64,0.452143620971815,0.6505259395269677,0.7286751361161524
jetski,all,0.014484325661882722,0.03412135831614506,0.38312500000000005
jetski,<16,,,
jetski,16-32,0.006347345223693507,0.011730265831588375,0.525
jetski,32-64,0.02667921568777117,0.06665942178940891,0.35119047619047616
jetski,>64,0.018282086936325066,0.03696446094457441,0.3899122807017544
life_saving_appliances,all,0.0012672890074187251,0.0036155644773849947,0.023030303030303033
life_saving_appliances,<16,0.005821782178217823,0.008316831683168317,0.14
life_saving_appliances,16-32,1.0207206287639073e-05,0.00010207206287639073,0.0004329004329004329
life_saving_appliances,32-64,0.010926547557704034,0.03392018774408514,0.0723404255319149
life_saving_appliances,>64,,,
buoy,all,0.014418196430481733,0.043633008901211225,0.20464285714285718
buoy,<16,0.0028395284526401264,0.013767562587898446,0.050909090909090904
buoy,16-32,0.027395596117254187,0.09202406575897079,0.23944223107569718
buoy,32-64,0.013931927060560486,0.021653867966783764,0.3814814814814814
buoy,>64,0.009223403606248844,0.012858313637854026,0.12023121387283238
