category,size_band,mAP@50-95,mAP@50,AR@50-95
swimmer,all,0.0756768965510914,0.1839593209459676,0.17560425394779247
swimmer,<16,0.003168316831683168,0.02178217821782178,0.004032258064516129
swimmer,16-32,0.06807345404225218,0.17838301690968822,0.10215557638238051
swimmer,32-64,0.10248381301723743,0.2595136352094952,0.17726704190118825
swimmer,>64,0.1289754557823776,0.3001041101635659,0.4034255599472991
boat,all,0.2829636737052317,0.5158788128477326,0.46630532971996386
boat,<16,0.0,0.0,0.0
boat,16-32,0.003252555442430914,0.017132050283680055,0.039393939393939384
boat,32-64,0.09754128634006248,0.20930399414343667,0.22860759493670885
boat,>64,0.35347607842875745,0.6293347423925558,0.5660012099213552
jetski,all,0.01264098350620634,0.0283878500815958,0.27375
jetski,<16,,,
jetski,16-32,0.0,0.0,0.0
jetski,32-64,0.010997713704070043,0.030615205237268184,0.23809523809523805
jetski,>64,0.016711227857238678,0.032509929380638805,0.2964912280701754
life_saving_appliances,all,7.244626901714563e-05,0.0002414875633904854,0.0009090909090909091
life_saving_appliances,<16,0.0,0.0,0.0
life_saving_appliances,16-32,0.0,0.0,0.0
life_saving_appliances,32-64,0.0003126628452318916,0.0010422094841063053,0.0031914893617021275
life_saving_appliances,>64,,,
buoy,all,0.0013197495575217415,0.003746269849451682,0.06499999999999999
buoy,<16,0.0,0.0,0.0
buoy,16-32,0.00045969799940304856,0.0032680711680190574,0.0099601593625498
buoy,32-64,0.00597843792733921,0.016358227040121555,0.282716049382716
buoy,>64,0.002141036209450947,0.004492746267104263,0.06358381502890173
