category,size_band,mAP@50-95,mAP@50,AR@50-95
swimmer,all,0.06316092215421379,0.1542696218478672,0.10485014502094747
swimmer,small,0.03409220825021109,0.08728055723169567,0.04505543237250555
swimmer,medium,0.06753562429477439,0.17543285607899053,0.11789242590559823
swimmer,large,0.2347014588951302,0.5037669080709289,0.3865384615384616
boat,all,0.42343006784633985,0.6450786111660625,0.6312104787714544
boat,small,0.007861700044840183,0.01982361730668977,0.2331325301204819
boat,medium,0.13524793917901243,0.34176080989020663,0.4251506024096384
boat,large,0.6195227568560449,0.8604772768992733,0.7778179190751444
jetski,all,0.005943305607497479,0.01419554612321193,0.1325
jetski,small,0.0,0.0,0.0
jetski,medium,0.006527049603922592,0.017123054373098398,0.12768361581920906
jetski,large,0.007806903230974531,0.014506632819684822,0.14666666666666667
life_saving_appliances,all,0.0,0.0,0.0
life_saving_appliances,small,0.0,0.0,0.0
life_saving_appliances,medium,0.0,0.0,0.0
life_saving_appliances,large,,,
buoy,all,0.05395333103331527,0.10146058844922316,0.4414285714285714
buoy,small,0.01400698750207049,0.04638615460196973,0.18758169934640523
buoy,medium,0.12549373457718757,0.17610973595752313,0.7327188940092165
buoy,large,0.2522456208291408,0.3215290364144405,0.8324324324324325
