category,size_band,mAP@50-95,mAP@50,AR@50-95
swimmer,all,0.06316092215421379,0.1542696218478672,0.10485014502094747
swimmer,<16,0.0,0.0,0.0
swimmer,16-32,0.035972193577049824,0.08878381820877447,0.04761012183692596
swimmer,32-64,0.06925036917959533,0.17385736898423412,0.10881801125703565
swimmer,>64,0.15257254421671776,0.3538022889827517,0.266403162055336
boat,all,0.42343006784633985,0.6450786111660625,0.6312104787714544
boat,<16,0.0,0.0,0.0
boat,16-32,0.008028494789033244,0.020195186727833436,0.23454545454545453
boat,32-64,0.1933839892429871,0.5340171911625863,0.4058227848101266
boat,>64,0.5299517348722612,0.7424007736119127,0.7250453720508168
jetski,all,0.005943305607497479,0.01419554612321193,0.1325
jetski,<16,,,
jetski,16-32,0.0,0.0,0.0
jetski,32-64,0.0037732759768439096,0.010807829616993697,0.0988095238095238
jetski,>64,0.008193962333520594,0.017882401542558494,0.14956140350877195
life_saving_appliances,all,0.0,0.0,0.0
life_saving_appliances,<16,0.0,0.0,0.0
life_saving_appliances,16-32,0.0,0.0,0.0
life_saving_appliances,32-64,0.0,0.0,0.0
life_saving_appliances,>64,,,
buoy,all,0.05395333103331527,0.10146058844922316,0.4414285714285714
buoy,<16,0.006317452899597723,0.021042550546077437,0.02909090909090909
buoy,16-32,0.016716713498845452,0.0550781645069026,0.22231075697211153
buoy,32-64,0.029329522324466926,0.04602545140017523,0.6444444444444444
buoy,>64,0.28198452417138054,0.37963170353010445,0.7953757225433525
