category,size_band,mAP@50-95,mAP@50,AR@50-95
swimmer,all,0.02714459901175871,0.06804951091723767,0.04223332259104093
swimmer,<16,0.0,0.0,0.0
swimmer,16-32,0.008150285055931478,0.01881188118811881,0.007169634489222118
swimmer,32-64,0.024571664784774454,0.06475969420307037,0.032739212007504695
swimmer,>64,0.10247334030775483,0.2673035882920084,0.1876152832674572
boat,all,0.3320957785737645,0.5705389848363,0.4844625112917796
boat,<16,0.0,0.0,0.0
boat,16-32,0.007444991839227778,0.025634563456345634,0.0806060606060606
boat,32-64,0.055757316976164,0.16117845267097233,0.250126582278481
boat,>64,0.4230590840753013,0.6939585404802313,0.5810647307924984
jetski,all,0.0026739667559346598,0.005492209603367883,0.06875
jetski,<16,,,
jetski,16-32,0.0,0.0,0.0
jetski,32-64,0.0003898995941890262,0.0019049185885355907,0.023809523809523808
jetski,>64,0.004051425499638479,0.00810734564179846,0.08771929824561402
life_saving_appliances,all,0.0,0.0,0.0
life_saving_appliances,<16,0.0,0.0,0.0
life_saving_appliances,16-32,0.0,0.0,0.0
life_saving_appliances,32-64,0.0,0.0,0.0
life_saving_appliances,>64,,,
buoy,all,0.02110701536659376,0.040217248647613835,0.265
buoy,<16,0.0,0.0,0.0
buoy,16-32,0.000353084443819956,0.002295766367951632,0.010756972111553784
buoy,32-64,0.02521780540072551,0.055659953720954336,0.4851851851851852
buoy,>64,0.11050460399802561,0.18482771621621724,0.6150289017341041
