epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,316.57,1.56842,1.18877,0.98222,0.80049,0.69521,0.73518,0.41022,1.54076,0.85874,1.01524,0.00999105,0.00333035,0.00999105,0.00333035,0.00999105,0.00333035,0.00999105,0.00333035
2,566.135,1.56232,0.841,0.97528,0.77374,0.72808,0.73977,0.40819,1.54986,0.89123,1.04365,0.0197931,0.00659771,0.0197931,0.00659771,0.0197931,0.00659771,0.0197931,0.00659771
3,804.073,1.60894,0.86823,0.99363,0.77484,0.69082,0.71284,0.3778,1.65662,0.93675,1.08555,0.0293972,0.00979907,0.0293972,0.00979907,0.0293972,0.00979907,0.0293972,0.00979907
4,1040.11,1.60827,0.86113,0.9961,0.80419,0.71103,0.73531,0.39971,1.61167,0.8779,1.08327,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1275.66,1.54666,0.80687,0.98739,0.80604,0.73254,0.76585,0.42268,1.55888,0.83921,1.06159,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1510.7,1.51936,0.77822,0.98005,0.7905,0.75019,0.75704,0.43123,1.52376,0.83669,1.04404,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1746.18,1.47571,0.74738,0.96749,0.83949,0.7646,0.79872,0.45567,1.4854,0.79672,1.03944,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1981.85,1.45005,0.72638,0.96206,0.85521,0.75058,0.78216,0.44688,1.48875,0.78107,1.02777,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2218.99,1.42208,0.70672,0.9525,0.77696,0.7514,0.78172,0.45505,1.50563,0.84031,1.03547,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2453.72,1.41684,0.69996,0.95273,0.86537,0.76197,0.78509,0.45773,1.44441,0.75685,1.0178,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2689.1,1.38618,0.6836,0.94407,0.86136,0.77094,0.78955,0.45181,1.47806,0.77251,1.03888,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2924.55,1.37598,0.67651,0.93956,0.88104,0.78513,0.81092,0.46801,1.45351,0.72131,1.02706,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3159.82,1.36054,0.66443,0.93759,0.85588,0.76708,0.79298,0.46345,1.43042,0.74209,1.0137,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3395.2,1.35031,0.65633,0.93558,0.85036,0.78895,0.81599,0.48435,1.41219,0.70799,1.00753,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3630.34,1.33435,0.64754,0.93124,0.88671,0.78533,0.81062,0.47333,1.4287,0.68767,1.01981,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3865.85,1.32672,0.64309,0.92944,0.87985,0.79059,0.81255,0.48167,1.40429,0.69949,1.00913,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4101.34,1.3129,0.6359,0.92743,0.86566,0.79977,0.80484,0.47923,1.4145,0.71465,1.02163,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4336.59,1.3055,0.62962,0.92659,0.86939,0.79119,0.80848,0.48376,1.41126,0.71891,1.01377,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4571.91,1.29461,0.62068,0.9222,0.88934,0.79466,0.8134,0.48809,1.39352,0.68398,1.0073,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4807.56,1.28657,0.61654,0.92097,0.88168,0.80194,0.81616,0.48323,1.41996,0.69804,1.01065,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5042.95,1.2709,0.60872,0.91795,0.88466,0.80362,0.8178,0.49148,1.39884,0.66981,1.01222,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5278.28,1.25798,0.60045,0.91393,0.87728,0.79734,0.81377,0.48358,1.40534,0.68593,1.00957,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5513.6,1.25824,0.59971,0.91299,0.87939,0.78247,0.81221,0.48762,1.40029,0.70312,1.012,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5749.36,1.24965,0.59412,0.91094,0.89937,0.79997,0.81794,0.49364,1.38556,0.66089,1.00153,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5985.33,1.23487,0.58632,0.90814,0.91374,0.79732,0.81665,0.49749,1.37071,0.66319,0.99638,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,6220.46,1.2258,0.58407,0.90847,0.87537,0.80138,0.81186,0.4888,1.37538,0.67017,1.00056,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6455.84,1.21667,0.57793,0.90498,0.89847,0.79993,0.82484,0.50095,1.36363,0.65511,0.99369,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,6691.32,1.21611,0.57574,0.90511,0.88889,0.80449,0.81202,0.48892,1.38247,0.65772,1.00187,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,6927.18,1.20637,0.57154,0.9,0.90058,0.80221,0.81101,0.49022,1.37975,0.65432,0.99548,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7162.56,1.19727,0.57228,0.90121,0.88645,0.80568,0.83168,0.50538,1.36049,0.64507,0.9917,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7398.15,1.18509,0.56293,0.89486,0.9108,0.80483,0.82352,0.50009,1.36145,0.64692,0.99402,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,7633.29,1.18406,0.55778,0.89613,0.89566,0.81375,0.82719,0.50013,1.36958,0.64231,0.99199,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7868.44,1.17049,0.55278,0.8927,0.90557,0.82045,0.84026,0.50791,1.3556,0.64188,0.99108,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8103.79,1.17206,0.55323,0.89412,0.88087,0.81835,0.82892,0.50137,1.36398,0.6573,0.99539,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8338.93,1.16021,0.54794,0.89027,0.88366,0.80883,0.82103,0.49786,1.37461,0.67221,1.00109,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8574.3,1.15793,0.54378,0.88962,0.89264,0.80792,0.83394,0.50616,1.37978,0.657,1.0036,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8809.45,1.14993,0.54354,0.88803,0.89272,0.81718,0.84155,0.50875,1.36395,0.63652,0.99573,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,9044.87,1.13892,0.53436,0.88534,0.88082,0.81441,0.82889,0.50766,1.37744,0.63983,1.00683,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,9280.03,1.13908,0.53456,0.88646,0.90007,0.79663,0.82764,0.50192,1.39599,0.63386,1.0138,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9515.6,1.13446,0.53249,0.88634,0.88982,0.80756,0.8256,0.50006,1.36509,0.62662,0.9984,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
