epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.186,1.84774,1.49601,0.90526,0.77462,0.497,0.53273,0.27246,1.93024,1.03665,0.93278,0.000369671,0.000369671,0.000369671
2,208.244,1.79926,0.90187,0.89372,0.73145,0.57399,0.6004,0.31672,1.82306,0.91477,0.92018,0.000666744,0.000666744,0.000666744
3,282.273,1.76237,0.84802,0.88625,0.80168,0.55375,0.59816,0.30911,1.83327,0.91621,0.90902,0.000890491,0.000890491,0.000890491
4,367.104,1.71221,0.81261,0.87953,0.81996,0.60169,0.63785,0.34363,1.76276,0.85148,0.90424,0.000781033,0.000781033,0.000781033
5,445.149,1.65241,0.76042,0.86987,0.74814,0.61214,0.63521,0.34672,1.71461,0.85279,0.89739,0.000671044,0.000671044,0.000671044
6,531.603,1.60712,0.72535,0.8633,0.79956,0.6151,0.62649,0.33126,1.75909,0.85035,0.89837,0.000561055,0.000561055,0.000561055
7,609.125,1.55715,0.69787,0.85416,0.82064,0.62367,0.64544,0.35933,1.65988,0.75626,0.89063,0.000451066,0.000451066,0.000451066
8,684.459,1.52809,0.67376,0.84687,0.81827,0.6407,0.65864,0.36279,1.65913,0.73296,0.8845,0.000341077,0.000341077,0.000341077
9,762.426,1.47955,0.6425,0.84459,0.80957,0.65162,0.65657,0.37068,1.62153,0.72116,0.88551,0.000231088,0.000231088,0.000231088
10,840.348,1.43454,0.61849,0.83824,0.83751,0.65801,0.66315,0.37971,1.59055,0.70544,0.87944,0.000121099,0.000121099,0.000121099
