model,query_set,tag,bin_low,bin_high,n_detections,mean_confidence,fraction_correct
YOLO11s fine-tune,,baseline_a_full,0.0,0.1,1356,0.0705,0.0406
YOLO11s fine-tune,,baseline_a_full,0.1,0.2,851,0.1385,0.0917
YOLO11s fine-tune,,baseline_a_full,0.2,0.3,420,0.2449,0.2119
YOLO11s fine-tune,,baseline_a_full,0.3,0.4,437,0.3534,0.4531
YOLO11s fine-tune,,baseline_a_full,0.4,0.5,655,0.4528,0.6794
YOLO11s fine-tune,,baseline_a_full,0.5,0.6000000000000001,1036,0.5549,0.7876
YOLO11s fine-tune,,baseline_a_full,0.6000000000000001,0.7000000000000001,1835,0.6521,0.8708
YOLO11s fine-tune,,baseline_a_full,0.7000000000000001,0.8,2776,0.7521,0.9226
YOLO11s fine-tune,,baseline_a_full,0.8,0.9,2451,0.8529,0.9825
YOLO11s fine-tune,,baseline_a_full,0.9,1.0,390,0.9107,0.9974
YOLO-World v2-s,canonical,baseline_b_canonical_1280,0.0,0.1,2717,0.0708,0.078
YOLO-World v2-s,canonical,baseline_b_canonical_1280,0.1,0.2,1893,0.1401,0.1067
YOLO-World v2-s,canonical,baseline_b_canonical_1280,0.2,0.3,824,0.2448,0.199
YOLO-World v2-s,canonical,baseline_b_canonical_1280,0.3,0.4,441,0.3461,0.3243
YOLO-World v2-s,canonical,baseline_b_canonical_1280,0.4,0.5,291,0.4494,0.4777
YOLO-World v2-s,canonical,baseline_b_canonical_1280,0.5,0.6000000000000001,213,0.5464,0.6901
YOLO-World v2-s,canonical,baseline_b_canonical_1280,0.6000000000000001,0.7000000000000001,208,0.651,0.7212
YOLO-World v2-s,canonical,baseline_b_canonical_1280,0.7000000000000001,0.8,311,0.7556,0.8585
YOLO-World v2-s,canonical,baseline_b_canonical_1280,0.8,0.9,567,0.8499,0.903
YOLO-World v2-s,canonical,baseline_b_canonical_1280,0.9,1.0,47,0.921,0.8298
YOLO-World v2-s,attributed,baseline_b_attributed_1280,0.0,0.1,6932,0.0717,0.0603
