tag,size_band,n_tp,n_fp,auroc,ks,ks_at_conf,overlap,youden_j,youden_at_conf,tp_mean_conf,fp_mean_conf,tp_median_conf,fp_median_conf
baseline_a_full,<16,129,95,0.9244,0.7851,0.454,0.2299,0.7851,0.454,0.6228,0.2817,0.6401,0.2506
baseline_a_full,16-32,2185,1144,0.9012,0.6726,0.378,0.3286,0.6726,0.378,0.6244,0.2466,0.6481,0.1381
baseline_a_full,32-64,3653,1736,0.9222,0.7141,0.508,0.2873,0.7141,0.508,0.6867,0.2436,0.7289,0.1284
baseline_a_full,>64,2670,595,0.9483,0.7507,0.754,0.2437,0.7507,0.754,0.8215,0.3268,0.8597,0.2168
baseline_b_canonical_1280,<16,3,24,0.5972,0.3333,0.14,0.5417,0.3333,0.14,0.0942,0.0824,0.0784,0.0779
baseline_b_canonical_1280,16-32,97,1593,0.6823,0.3016,0.142,0.6494,0.3016,0.142,0.2503,0.1537,0.1923,0.1111
baseline_b_canonical_1280,32-64,316,2066,0.8152,0.6057,0.272,0.3999,0.6057,0.272,0.3782,0.1391,0.4226,0.1034
baseline_b_canonical_1280,>64,1559,1854,0.8427,0.5658,0.374,0.4269,0.5658,0.374,0.582,0.1991,0.7173,0.1173
baseline_b_attributed_1280,<16,10,159,0.8132,0.5434,0.32,0.2692,0.5434,0.32,0.3974,0.1451,0.3807,0.1063
baseline_b_attributed_1280,16-32,991,3291,0.6777,0.2689,0.408,0.7135,0.2689,0.408,0.4928,0.3107,0.4857,0.2172
baseline_b_attributed_1280,32-64,1942,7656,0.7448,0.3784,0.478,0.6154,0.3784,0.478,0.5531,0.2814,0.5944,0.1895
baseline_b_attributed_1280,>64,2134,10531,0.8587,0.5872,0.544,0.4111,0.5872,0.544,0.735,0.2674,0.9218,0.154
