model,query_set,tag,size_band,error_type,fp_subtype,count,mean_confidence,mean_edge_px
YOLO11s fine-tune,,baseline_a_full,<16,FN,,36,,14.26
YOLO11s fine-tune,,baseline_a_full,<16,FP,background,23,0.4331,13.8
YOLO11s fine-tune,,baseline_a_full,<16,FP,class_confusion,1,0.3928,13.65
YOLO11s fine-tune,,baseline_a_full,<16,FP,localization,10,0.4915,13.94
YOLO11s fine-tune,,baseline_a_full,<16,FP,duplicate,15,0.3958,14.98
YOLO11s fine-tune,,baseline_a_full,<16,FP,ALL,49,0.4328,14.19
YOLO11s fine-tune,,baseline_a_full,16-32,FN,,486,,25.35
YOLO11s fine-tune,,baseline_a_full,16-32,FP,background,103,0.4988,23.45
YOLO11s fine-tune,,baseline_a_full,16-32,FP,class_confusion,9,0.4684,26.15
YOLO11s fine-tune,,baseline_a_full,16-32,FP,localization,255,0.5329,26.25
YOLO11s fine-tune,,baseline_a_full,16-32,FP,duplicate,37,0.3295,23.84
YOLO11s fine-tune,,baseline_a_full,16-32,FP,ALL,404,0.5042,25.31
YOLO11s fine-tune,,baseline_a_full,32-64,FN,,444,,43.67
YOLO11s fine-tune,,baseline_a_full,32-64,FP,background,77,0.5215,45.14
YOLO11s fine-tune,,baseline_a_full,32-64,FP,class_confusion,30,0.3984,39.98
YOLO11s fine-tune,,baseline_a_full,32-64,FP,localization,421,0.5607,45.26
YOLO11s fine-tune,,baseline_a_full,32-64,FP,duplicate,37,0.3358,46.4
YOLO11s fine-tune,,baseline_a_full,32-64,FP,ALL,565,0.532,45.04
YOLO11s fine-tune,,baseline_a_full,>64,FN,,198,,201.31
YOLO11s fine-tune,,baseline_a_full,>64,FP,background,64,0.5246,178.2
YOLO11s fine-tune,,baseline_a_full,>64,FP,class_confusion,45,0.6208,402.91
YOLO11s fine-tune,,baseline_a_full,>64,FP,localization,147,0.6101,134.34
YOLO11s fine-tune,,baseline_a_full,>64,FP,duplicate,12,0.3913,140.14
YOLO11s fine-tune,,baseline_a_full,>64,FP,ALL,268,0.5817,190.17
YOLO-World v2-s,canonical,baseline_b_canonical_1280,<16,FN,,181,,13.98
YOLO-World v2-s,canonical,baseline_b_canonical_1280,<16,FP,background,0,,
YOLO-World v2-s,canonical,baseline_b_canonical_1280,<16,FP,class_confusion,0,,
YOLO-World v2-s,canonical,baseline_b_canonical_1280,<16,FP,localization,0,,
YOLO-World v2-s,canonical,baseline_b_canonical_1280,<16,FP,duplicate,0,,
YOLO-World v2-s,canonical,baseline_b_canonical_1280,<16,FP,ALL,0,,
YOLO-World v2-s,canonical,baseline_b_canonical_1280,16-32,FN,,2750,,25.61
YOLO-World v2-s,canonical,baseline_b_canonical_1280,16-32,FP,background,74,0.3796,27.48
YOLO-World v2-s,canonical,baseline_b_canonical_1280,16-32,FP,class_confusion,168,0.3759,27.22
YOLO-World v2-s,canonical,baseline_b_canonical_1280,16-32,FP,localization,18,0.3842,22.89
YOLO-World v2-s,canonical,baseline_b_canonical_1280,16-32,FP,duplicate,0,,
YOLO-World v2-s,canonical,baseline_b_canonical_1280,16-32,FP,ALL,260,0.3776,27.0
YOLO-World v2-s,canonical,baseline_b_canonical_1280,32-64,FN,,3616,,43.64
YOLO-World v2-s,canonical,baseline_b_canonical_1280,32-64,FP,background,49,0.332,44.3
YOLO-World v2-s,canonical,baseline_b_canonical_1280,32-64,FP,class_confusion,191,0.3679,49.36
YOLO-World v2-s,canonical,baseline_b_canonical_1280,32-64,FP,localization,7,0.5222,42.44
YOLO-World v2-s,canonical,baseline_b_canonical_1280,32-64,FP,duplicate,2,0.2937,53.78
YOLO-World v2-s,canonical,baseline_b_canonical_1280,32-64,FP,ALL,249,0.3645,48.2
YOLO-World v2-s,canonical,baseline_b_canonical_1280,>64,FN,,1590,,132.65
YOLO-World v2-s,canonical,baseline_b_canonical_1280,>64,FP,background,49,0.4219,93.14
YOLO-World v2-s,canonical,baseline_b_canonical_1280,>64,FP,class_confusion,289,0.5187,150.91
YOLO-World v2-s,canonical,baseline_b_canonical_1280,>64,FP,localization,51,0.5504,133.02
YOLO-World v2-s,canonical,baseline_b_canonical_1280,>64,FP,duplicate,38,0.34,116.24
YOLO-World v2-s,canonical,baseline_b_canonical_1280,>64,FP,ALL,427,0.4955,139.06
YOLO-World v2-s,attributed,baseline_b_attributed_1280,<16,FN,,181,,13.97
YOLO-World v2-s,attributed,baseline_b_attributed_1280,<16,FP,background,12,0.3849,13.88
YOLO-World v2-s,attributed,baseline_b_attributed_1280,<16,FP,class_confusion,2,0.3957,15.07
YOLO-World v2-s,attributed,baseline_b_attributed_1280,<16,FP,localization,5,0.3648,14.88
YOLO-World v2-s,attributed,baseline_b_attributed_1280,<16,FP,duplicate,0,,
YOLO-World v2-s,attributed,baseline_b_attributed_1280,<16,FP,ALL,19,0.3807,14.27
YOLO-World v2-s,attributed,baseline_b_attributed_1280,16-32,FN,,2177,,25.19
YOLO-World v2-s,attributed,baseline_b_attributed_1280,16-32,FP,background,329,0.4997,27.13
YOLO-World v2-s,attributed,baseline_b_attributed_1280,16-32,FP,class_confusion,642,0.5451,27.14
YOLO-World v2-s,attributed,baseline_b_attributed_1280,16-32,FP,localization,405,0.5555,25.35
YOLO-World v2-s,attributed,baseline_b_attributed_1280,16-32,FP,duplicate,103,0.5609,27.26
YOLO-World v2-s,attributed,baseline_b_attributed_1280,16-32,FP,ALL,1479,0.539,26.66
YOLO-World v2-s,attributed,baseline_b_attributed_1280,32-64,FN,,2307,,44.08
YOLO-World v2-s,attributed,baseline_b_attributed_1280,32-64,FP,background,1011,0.4771,46.54
YOLO-World v2-s,attributed,baseline_b_attributed_1280,32-64,FP,class_confusion,1211,0.5559,46.22
