idx,visual_category
24,net_izole
25,net_izole
26,kume_halinde
27,kopuk_icinde
28,kume_halinde
29,dusuk_kontrast
30,net_izole
31,kopuk_icinde
32,dusuk_kontrast
33,net_izole
34,dusuk_kontrast
35,kopuk_icinde
36,kume_halinde
37,batik_golge
38,kopuk_icinde
39,kume_halinde
40,dusuk_kontrast
41,net_izole
42,net_izole
43,dusuk_kontrast
44,net_izole
45,net_izole
46,batik_golge
47,dusuk_kontrast
216,kopuk_icinde
217,dusuk_isik
218,sadece_bas
219,dusuk_isik
220,dusuk_isik
221,sadece_bas
222,sadece_bas
223,sadece_bas
224,sadece_bas
225,sadece_bas
226,sadece_bas
227,sadece_bas
228,sadece_bas
229,sadece_bas
230,sadece_bas
231,sadece_bas
232,dusuk_isik
233,dusuk_isik
234,sadece_bas
235,sadece_bas
236,sadece_bas
237,sadece_bas
238,sadece_bas
239,sadece_bas
