idx,visual_category
0,gercek_anotasyonsuz_insan
1,belirsiz
2,gercek_anotasyonsuz_insan
3,gercek_anotasyonsuz_insan
4,belirsiz
5,gercek_anotasyonsuz_tekne
6,gercek_anotasyonsuz_tekne
7,gercek_anotasyonsuz_tekne
8,gercek_anotasyonsuz_tekne
9,gercek_anotasyonsuz_tekne
10,gercek_anotasyonsuz_deniz_araci
11,belirsiz
12,gercek_anotasyonsuz_deniz_araci
13,gercek_anotasyonsuz_deniz_araci
14,gercek_anotasyonsuz_insan
15,gercek_anotasyonsuz_insan
16,gercek_anotasyonsuz_insan
17,gercek_anotasyonsuz_tekne
18,belirsiz
19,gercek_anotasyonsuz_insan
20,belirsiz
21,dalga_kopugu_parilti
22,belirsiz
23,gercek_anotasyonsuz_tekne
72,gercek_anotasyonsuz_deniz_araci
73,gercek_anotasyonsuz_insan
74,gercek_anotasyonsuz_insan
75,gercek_anotasyonsuz_deniz_araci
76,gercek_anotasyonsuz_insan
77,gercek_anotasyonsuz_deniz_araci
78,gercek_anotasyonsuz_insan
79,gercek_anotasyonsuz_insan
80,gercek_anotasyonsuz_insan
81,gercek_anotasyonsuz_deniz_araci
82,gercek_anotasyonsuz_deniz_araci
83,gercek_anotasyonsuz_insan
84,gercek_anotasyonsuz_can_simidi
85,gercek_anotasyonsuz_insan
86,gercek_anotasyonsuz_can_simidi
87,belirsiz
88,gercek_anotasyonsuz_insan
89,gercek_anotasyonsuz_can_simidi
90,gercek_anotasyonsuz_insan
91,gercek_anotasyonsuz_insan
92,belirsiz
93,belirsiz
94,gercek_anotasyonsuz_insan
95,belirsiz
120,belirsiz
121,belirsiz
122,dalga_kopugu_parilti
123,belirsiz
124,belirsiz
125,belirsiz
126,dalga_kopugu_parilti
127,gercek_anotasyonsuz_insan
128,belirsiz
129,belirsiz
130,belirsiz
131,belirsiz
132,belirsiz
133,belirsiz
134,belirsiz
135,belirsiz
136,belirsiz
137,belirsiz
138,belirsiz
139,dalga_kopugu_parilti
140,belirsiz
141,belirsiz
142,belirsiz
143,belirsiz
216,belirsiz
217,belirsiz
218,belirsiz
219,belirsiz
220,belirsiz
221,belirsiz
222,belirsiz
223,belirsiz
224,belirsiz
