model,run,imgsz,category,size_band,n_gt,FN,FP,AP@50-95,AP@50,AR@50-95,TP,precision@conf0.25,recall@conf0.25
YOLO11s fine-tune,full@1280,1280,boat,<16,1,1,0,0.0,0.0,0.0,0,,0.0
YOLO11s fine-tune,full@1280,1280,boat,16-32,165,6,22,0.6637,0.9519,0.6982,159,0.8785,0.9636
YOLO11s fine-tune,full@1280,1280,boat,32-64,395,42,21,0.6233,0.9049,0.6709,353,0.9439,0.8937
YOLO11s fine-tune,full@1280,1280,boat,>64,1653,24,58,0.784,0.9834,0.8331,1629,0.9656,0.9855
YOLO11s fine-tune,full@1280,1280,buoy,<16,55,4,15,0.375,0.9359,0.4636,51,0.7727,0.9273
YOLO11s fine-tune,full@1280,1280,buoy,16-32,251,24,36,0.4174,0.8796,0.5104,227,0.8631,0.9044
YOLO11s fine-tune,full@1280,1280,buoy,32-64,81,1,5,0.6717,0.9923,0.742,80,0.9412,0.9877
YOLO11s fine-tune,full@1280,1280,buoy,>64,173,3,6,0.7343,0.971,0.815,170,0.9659,0.9827
YOLO11s fine-tune,full@1280,1280,jetski,<16,0,0,2,,,,0,0.0,
YOLO11s fine-tune,full@1280,1280,jetski,16-32,8,1,2,0.6518,0.9505,0.7,7,0.7778,0.875
YOLO11s fine-tune,full@1280,1280,jetski,32-64,84,7,18,0.5994,0.8839,0.7071,77,0.8105,0.9167
YOLO11s fine-tune,full@1280,1280,jetski,>64,228,23,52,0.6135,0.8944,0.6851,205,0.7977,0.8991
YOLO11s fine-tune,full@1280,1280,life_saving_appliances,<16,5,2,1,0.2243,0.604,0.38,3,0.75,0.6
YOLO11s fine-tune,full@1280,1280,life_saving_appliances,16-32,231,102,21,0.3278,0.5852,0.3619,129,0.86,0.5584
YOLO11s fine-tune,full@1280,1280,life_saving_appliances,32-64,94,52,24,0.2756,0.4741,0.3436,42,0.6364,0.4468
YOLO11s fine-tune,full@1280,1280,life_saving_appliances,>64,0,0,2,,,,0,0.0,
YOLO11s fine-tune,full@1280,1280,swimmer,<16,121,29,31,0.2949,0.7749,0.3524,92,0.748,0.7603
YOLO11s fine-tune,full@1280,1280,swimmer,16-32,2129,353,323,0.3423,0.8004,0.4414,1776,0.8461,0.8342
YOLO11s fine-tune,full@1280,1280,swimmer,32-64,3197,342,497,0.4172,0.8709,0.5313,2855,0.8517,0.893
YOLO11s fine-tune,full@1280,1280,swimmer,>64,759,148,150,0.4014,0.7903,0.5291,611,0.8029,0.805
YOLO11s fine-tune,pilot@640,640,boat,<16,1,1,0,0.0,0.0,0.0,0,,0.0
YOLO11s fine-tune,pilot@640,640,boat,16-32,165,69,25,0.3925,0.6291,0.4188,96,0.7934,0.5818
YOLO11s fine-tune,pilot@640,640,boat,32-64,395,62,85,0.5004,0.8674,0.5633,333,0.7967,0.843
YOLO11s fine-tune,pilot@640,640,boat,>64,1653,31,82,0.6926,0.9713,0.7555,1622,0.9519,0.9812
YOLO11s fine-tune,pilot@640,640,buoy,<16,55,53,0,0.0101,0.0663,0.0164,2,1.0,0.0364
YOLO11s fine-tune,pilot@640,640,buoy,16-32,251,168,120,0.0947,0.2957,0.1239,83,0.4089,0.3307
YOLO11s fine-tune,pilot@640,640,buoy,32-64,81,8,5,0.6156,0.9076,0.6815,73,0.9359,0.9012
YOLO11s fine-tune,pilot@640,640,buoy,>64,173,4,9,0.7163,0.9621,0.7867,169,0.9494,0.9769
YOLO11s fine-tune,pilot@640,640,jetski,<16,0,0,0,,,,0,,
YOLO11s fine-tune,pilot@640,640,jetski,16-32,8,0,6,0.4904,0.9571,0.5125,8,0.5714,1.0
YOLO11s fine-tune,pilot@640,640,jetski,32-64,84,12,20,0.4861,0.8505,0.556,72,0.7826,0.8571
YOLO11s fine-tune,pilot@640,640,jetski,>64,228,12,64,0.5606,0.8831,0.6719,216,0.7714,0.9474
YOLO11s fine-tune,pilot@640,640,life_saving_appliances,<16,5,3,0,0.2446,0.4059,0.24,2,1.0,0.4
YOLO11s fine-tune,pilot@640,640,life_saving_appliances,16-32,231,179,16,0.0864,0.2243,0.1091,52,0.7647,0.2251
YOLO11s fine-tune,pilot@640,640,life_saving_appliances,32-64,94,80,25,0.0634,0.1238,0.0947,14,0.359,0.1489
YOLO11s fine-tune,pilot@640,640,life_saving_appliances,>64,0,0,0,,,,0,,
YOLO11s fine-tune,pilot@640,640,swimmer,<16,121,93,15,0.0812,0.2345,0.1065,28,0.6512,0.2314
YOLO11s fine-tune,pilot@640,640,swimmer,16-32,2129,804,398,0.2337,0.5985,0.2819,1325,0.769,0.6224
YOLO11s fine-tune,pilot@640,640,swimmer,32-64,3197,478,1275,0.3226,0.7745,0.4583,2719,0.6808,0.8505
YOLO11s fine-tune,pilot@640,640,swimmer,>64,759,138,228,0.3409,0.751,0.5204,621,0.7314,0.8182
