tag,model,query_set,size_band,mAP@50-95,mAP@50,mAP@75,AR@50-95,n_gt
baseline_a_full,YOLO11s fine-tune,,all,0.5225198168303696,0.8363763319794276,0.5335344425127958,0.594390100511191,9630
baseline_a_full,YOLO11s fine-tune,,small,0.472374208447662,0.8263386002215772,0.4873132232993042,0.538997514593416,2966
baseline_a_full,YOLO11s fine-tune,,medium,0.5283200374665987,0.829634823628432,0.5540978346613195,0.6137995009108878,4796
baseline_a_full,YOLO11s fine-tune,,large,0.663083204148535,0.9002483011597381,0.7553495031304364,0.7340946251387003,1868
baseline_b_canonical_1280,YOLO-World v2-s,canonical,all,0.1092975253282732,0.1830008735172729,0.1161675709079565,0.2619978390441946,9630
baseline_b_canonical_1280,YOLO-World v2-s,canonical,small,0.0111921791594243,0.030698065828071,0.004993772357397,0.0931539323678785,2966
baseline_b_canonical_1280,YOLO-World v2-s,canonical,medium,0.0669608695309793,0.1420852912599637,0.0523212953995354,0.2806891076287325,4796
baseline_b_canonical_1280,YOLO-World v2-s,canonical,large,0.2785691849528226,0.4250699635510818,0.3147132526250009,0.5358638699281764,1868
baseline_b_attributed_1280,YOLO-World v2-s,attributed,all,0.1039520835504764,0.1905581023408304,0.101472814955762,0.3112886446374662,9630
baseline_b_attributed_1280,YOLO-World v2-s,attributed,small,0.0255901593011349,0.070435320095289,0.0119165001355663,0.2120567821790123,2966
baseline_b_attributed_1280,YOLO-World v2-s,attributed,medium,0.0569799716714202,0.1388738298261979,0.0346481692190366,0.2858375977836498,4796
baseline_b_attributed_1280,YOLO-World v2-s,attributed,large,0.203480394354131,0.3328058104799714,0.2282714323590935,0.4723556590716996,1868
baseline_a_pilot,YOLO11s fine-tune,,all,0.3774570605321172,0.6515784886598304,0.3747851522546985,0.4474596380461456,9630
baseline_a_pilot,YOLO11s fine-tune,,small,0.2551636344947676,0.5275578821374843,0.2069618375365513,0.2835420347313136,2966
baseline_a_pilot,YOLO11s fine-tune,,medium,0.41669034404585,0.7199184525634087,0.4206277317992055,0.4980357702491567,4796
baseline_a_pilot,YOLO11s fine-tune,,large,0.6132664593966934,0.9011631793655102,0.6839647686017126,0.7181720201192745,1868
