model,run,imgsz,query_set,category,size_band,n_gt,FN,FP,AP@50-95,AP@50,AR@50-95,TP,precision@conf0.25,recall@conf0.25
YOLO-World v2-s,full@1280,1280,canonical,boat,<16,1,1,0,0.0,0.0,0.0,0,,0.0
YOLO-World v2-s,full@1280,1280,canonical,boat,16-32,165,158,88,0.008,0.0202,0.2345,7,0.0737,0.0424
YOLO-World v2-s,full@1280,1280,canonical,boat,32-64,395,162,169,0.1934,0.534,0.4058,233,0.5796,0.5899
YOLO-World v2-s,full@1280,1280,canonical,boat,>64,1653,481,323,0.53,0.7424,0.725,1172,0.7839,0.709
YOLO-World v2-s,full@1280,1280,canonical,buoy,<16,55,54,0,0.0063,0.021,0.0291,1,1.0,0.0182
YOLO-World v2-s,full@1280,1280,canonical,buoy,16-32,251,224,172,0.0167,0.0551,0.2223,27,0.1357,0.1076
YOLO-World v2-s,full@1280,1280,canonical,buoy,32-64,81,79,78,0.0293,0.046,0.6444,2,0.025,0.0247
YOLO-World v2-s,full@1280,1280,canonical,buoy,>64,173,122,72,0.282,0.3796,0.7954,51,0.4146,0.2948
YOLO-World v2-s,full@1280,1280,canonical,jetski,<16,0,0,0,,,,0,,
YOLO-World v2-s,full@1280,1280,canonical,jetski,16-32,8,8,0,0.0,0.0,0.0,0,,0.0
YOLO-World v2-s,full@1280,1280,canonical,jetski,32-64,84,84,2,0.0038,0.0108,0.0988,0,0.0,0.0
YOLO-World v2-s,full@1280,1280,canonical,jetski,>64,228,228,32,0.0082,0.0179,0.1496,0,0.0,0.0
YOLO-World v2-s,full@1280,1280,canonical,life_saving_appliances,<16,5,5,0,0.0,0.0,0.0,0,,0.0
YOLO-World v2-s,full@1280,1280,canonical,life_saving_appliances,16-32,231,231,0,0.0,0.0,0.0,0,,0.0
YOLO-World v2-s,full@1280,1280,canonical,life_saving_appliances,32-64,94,94,0,0.0,0.0,0.0,0,,0.0
YOLO-World v2-s,full@1280,1280,canonical,life_saving_appliances,>64,0,0,0,,,,0,,
YOLO-World v2-s,full@1280,1280,canonical,swimmer,<16,121,121,0,0.0,0.0,0.0,0,,0.0
YOLO-World v2-s,full@1280,1280,canonical,swimmer,16-32,2129,2129,0,0.036,0.0888,0.0476,0,,0.0
YOLO-World v2-s,full@1280,1280,canonical,swimmer,32-64,3197,3197,0,0.0693,0.1739,0.1088,0,,0.0
YOLO-World v2-s,full@1280,1280,canonical,swimmer,>64,759,759,0,0.1526,0.3538,0.2664,0,,0.0
YOLO-World v2-s,full@1280,1280,attributed,boat,<16,1,1,1,0.0,0.0,0.0,0,0.0,0.0
YOLO-World v2-s,full@1280,1280,attributed,boat,16-32,165,152,343,0.003,0.0096,0.1109,13,0.0365,0.0788
YOLO-World v2-s,full@1280,1280,attributed,boat,32-64,395,131,1362,0.1436,0.3756,0.3937,264,0.1624,0.6684
YOLO-World v2-s,full@1280,1280,attributed,boat,>64,1653,356,2174,0.4521,0.6505,0.7287,1297,0.3737,0.7846
YOLO-World v2-s,full@1280,1280,attributed,buoy,<16,55,55,3,0.0028,0.0138,0.0509,0,0.0,0.0
YOLO-World v2-s,full@1280,1280,attributed,buoy,16-32,251,192,311,0.0274,0.092,0.2394,59,0.1595,0.2351
YOLO-World v2-s,full@1280,1280,attributed,buoy,32-64,81,81,126,0.0139,0.0217,0.3815,0,0.0,0.0
YOLO-World v2-s,full@1280,1280,attributed,buoy,>64,173,172,17,0.0092,0.0129,0.1202,1,0.0556,0.0058
YOLO-World v2-s,full@1280,1280,attributed,jetski,<16,0,0,3,,,,0,0.0,
YOLO-World v2-s,full@1280,1280,attributed,jetski,16-32,8,6,208,0.0063,0.0117,0.525,2,0.0095,0.25
YOLO-World v2-s,full@1280,1280,attributed,jetski,32-64,84,52,646,0.0267,0.0667,0.3512,32,0.0472,0.381
YOLO-World v2-s,full@1280,1280,attributed,jetski,>64,228,203,482,0.0183,0.037,0.3899,25,0.0493,0.1096
YOLO-World v2-s,full@1280,1280,attributed,life_saving_appliances,<16,5,5,0,0.0058,0.0083,0.14,0,,0.0
YOLO-World v2-s,full@1280,1280,attributed,life_saving_appliances,16-32,231,231,8,0.0,0.0001,0.0004,0,0.0,0.0
YOLO-World v2-s,full@1280,1280,attributed,life_saving_appliances,32-64,94,93,3,0.0109,0.0339,0.0723,1,0.25,0.0106
YOLO-World v2-s,full@1280,1280,attributed,life_saving_appliances,>64,0,0,3,,,,0,0.0,
YOLO-World v2-s,full@1280,1280,attributed,swimmer,<16,121,120,12,0.0029,0.0107,0.0452,1,0.0769,0.0083
YOLO-World v2-s,full@1280,1280,attributed,swimmer,16-32,2129,1596,609,0.1017,0.267,0.2257,533,0.4667,0.2504
YOLO-World v2-s,full@1280,1280,attributed,swimmer,32-64,3197,1950,989,0.1765,0.4224,0.3593,1247,0.5577,0.3901
YOLO-World v2-s,full@1280,1280,attributed,swimmer,>64,759,290,947,0.1605,0.3643,0.4897,469,0.3312,0.6179
YOLO-World v2-s,pilot@640,640,canonical,boat,<16,1,1,0,0.0,0.0,0.0,0,,0.0
YOLO-World v2-s,pilot@640,640,canonical,boat,16-32,165,164,2,0.0074,0.0256,0.0806,1,0.3333,0.0061
YOLO-World v2-s,pilot@640,640,canonical,boat,32-64,395,376,66,0.0558,0.1612,0.2501,19,0.2235,0.0481
YOLO-World v2-s,pilot@640,640,canonical,boat,>64,1653,635,244,0.4231,0.694,0.5811,1018,0.8067,0.6158
YOLO-World v2-s,pilot@640,640,canonical,buoy,<16,55,55,0,0.0,0.0,0.0,0,,0.0
YOLO-World v2-s,pilot@640,640,canonical,buoy,16-32,251,248,61,0.0004,0.0023,0.0108,3,0.0469,0.012
YOLO-World v2-s,pilot@640,640,canonical,buoy,32-64,81,78,114,0.0252,0.0557,0.4852,3,0.0256,0.037
YOLO-World v2-s,pilot@640,640,canonical,buoy,>64,173,160,82,0.1105,0.1848,0.615,13,0.1368,0.0751
YOLO-World v2-s,pilot@640,640,canonical,jetski,<16,0,0,0,,,,0,,
YOLO-World v2-s,pilot@640,640,canonical,jetski,16-32,8,8,0,0.0,0.0,0.0,0,,0.0
YOLO-World v2-s,pilot@640,640,canonical,jetski,32-64,84,84,0,0.0004,0.0019,0.0238,0,,0.0
YOLO-World v2-s,pilot@640,640,canonical,jetski,>64,228,228,15,0.0041,0.0081,0.0877,0,0.0,0.0
YOLO-World v2-s,pilot@640,640,canonical,life_saving_appliances,<16,5,5,0,0.0,0.0,0.0,0,,0.0
YOLO-World v2-s,pilot@640,640,canonical,life_saving_appliances,16-32,231,231,0,0.0,0.0,0.0,0,,0.0
YOLO-World v2-s,pilot@640,640,canonical,life_saving_appliances,32-64,94,94,0,0.0,0.0,0.0,0,,0.0
YOLO-World v2-s,pilot@640,640,canonical,life_saving_appliances,>64,0,0,0,,,,0,,
YOLO-World v2-s,pilot@640,640,canonical,swimmer,<16,121,121,0,0.0,0.0,0.0,0,,0.0
YOLO-World v2-s,pilot@640,640,canonical,swimmer,16-32,2129,2129,0,0.0082,0.0188,0.0072,0,,0.0
YOLO-World v2-s,pilot@640,640,canonical,swimmer,32-64,3197,3197,0,0.0246,0.0648,0.0327,0,,0.0
YOLO-World v2-s,pilot@640,640,canonical,swimmer,>64,759,759,0,0.1025,0.2673,0.1876,0,,0.0
YOLO-World v2-s,pilot@640,640,attributed,boat,<16,1,1,0,0.0,0.0,0.0,0,,0.0
YOLO-World v2-s,pilot@640,640,attributed,boat,16-32,165,165,59,0.0033,0.0171,0.0394,0,0.0,0.0
YOLO-World v2-s,pilot@640,640,attributed,boat,32-64,395,276,239,0.0975,0.2093,0.2286,119,0.3324,0.3013
YOLO-World v2-s,pilot@640,640,attributed,boat,>64,1653,467,1277,0.3535,0.6293,0.566,1186,0.4815,0.7175
YOLO-World v2-s,pilot@640,640,attributed,buoy,<16,55,55,0,0.0,0.0,0.0,0,,0.0
YOLO-World v2-s,pilot@640,640,attributed,buoy,16-32,251,247,96,0.0005,0.0033,0.01,4,0.04,0.0159
YOLO-World v2-s,pilot@640,640,attributed,buoy,32-64,81,73,497,0.006,0.0164,0.2827,8,0.0158,0.0988
YOLO-World v2-s,pilot@640,640,attributed,buoy,>64,173,173,102,0.0021,0.0045,0.0636,0,0.0,0.0
YOLO-World v2-s,pilot@640,640,attributed,jetski,<16,0,0,0,,,,0,,
YOLO-World v2-s,pilot@640,640,attributed,jetski,16-32,8,8,50,0.0,0.0,0.0,0,0.0,0.0
YOLO-World v2-s,pilot@640,640,attributed,jetski,32-64,84,61,392,0.011,0.0306,0.2381,23,0.0554,0.2738
