split,category,size_band,n_instances,pct_of_split
train,boat,<16,27,0.047
train,boat,16-32,1313,2.273
train,boat,32-64,2750,4.761
train,boat,>64,8932,15.464
train,buoy,<16,352,0.609
train,buoy,16-32,897,1.553
train,buoy,32-64,1818,3.148
train,buoy,>64,1322,2.289
train,jetski,<16,21,0.036
train,jetski,16-32,260,0.45
train,jetski,32-64,865,1.498
train,jetski,>64,1184,2.05
train,life_saving_appliances,<16,77,0.133
train,life_saving_appliances,16-32,550,0.952
train,life_saving_appliances,32-64,291,0.504
train,life_saving_appliances,>64,5,0.009
train,swimmer,<16,2707,4.687
train,swimmer,16-32,15567,26.951
train,swimmer,32-64,14587,25.255
train,swimmer,>64,4235,7.332
val,boat,<16,1,0.01
val,boat,16-32,165,1.713
val,boat,32-64,395,4.102
val,boat,>64,1653,17.165
val,buoy,<16,55,0.571
val,buoy,16-32,251,2.606
val,buoy,32-64,81,0.841
val,buoy,>64,173,1.796
val,jetski,<16,0,0.0
val,jetski,16-32,8,0.083
val,jetski,32-64,84,0.872
val,jetski,>64,228,2.368
val,life_saving_appliances,<16,5,0.052
val,life_saving_appliances,16-32,231,2.399
val,life_saving_appliances,32-64,94,0.976
val,life_saving_appliances,>64,0,0.0
val,swimmer,<16,121,1.256
val,swimmer,16-32,2129,22.108
val,swimmer,32-64,3197,33.198
val,swimmer,>64,759,7.882
